comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),runtime (ms),preprocess_method,preprocess_time (ms)
mueller2010,72.73,,,1412.7880,rank-list,1035.3809
mueller2010,72.73,46.36,,1463.6735,rank-list,1079.3080
mueller2010,72.73,46.36,17.27,1447.3146,rank-list,1066.9223
spearman,97.27,,,3835.7746,rank-list,915.3831
spearman,97.27,71.36,,3865.4006,rank-list,935.1951
spearman,97.27,71.36,27.27,3875.1851,rank-list,940.2437
kendall,96.82,,,3824.8103,rank-list,943.6114
kendall,96.82,72.27,,3856.2369,rank-list,952.7633
kendall,96.82,72.27,26.82,3876.1562,rank-list,957.0133
weighted_kendall,84.55,,,3003.0394,rank-list,956.1729
weighted_kendall,84.55,48.18,,3042.7561,rank-list,963.0351
weighted_kendall,84.55,48.18,18.18,3053.4487,rank-list,968.2410
