comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),runtime (ms),preprocess_method,preprocess_time (ms)
cosine,97.73,,,1172.8954,standardize,921.9238
cosine,97.73,74.55,,1180.0142,standardize,925.3476
cosine,97.73,74.55,27.73,1199.9063,standardize,944.5047
braycurtis,97.27,,,1028.9482,standardize,933.985
braycurtis,97.27,71.82,,1057.1039,standardize,960.4731
braycurtis,97.27,71.82,26.36,1087.31,standardize,990.2256
canberra,86.36,,,1181.8822,standardize,943.3131
canberra,86.36,56.36,,1203.8217,standardize,964.8848
canberra,86.36,56.36,16.82,1238.3367,standardize,999.5587
cityblock,97.27,,,1026.3415,standardize,948.7754
cityblock,97.27,68.64,,1055.3406,standardize,976.719
cityblock,97.27,68.64,25.45,1070.965,standardize,992.0259
sqeuclidean,97.73,,,1038.4722,standardize,955.6156
sqeuclidean,97.73,74.55,,1064.0384,standardize,980.8652
sqeuclidean,97.73,74.55,27.73,1076.1242,standardize,992.3144
minkowski,97.73,,,1036.006,standardize,944.2754
minkowski,97.73,74.55,,1037.8854,standardize,944.9195
minkowski,97.73,74.55,27.73,1042.3849,standardize,948.563
