comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
minkowski,83.18,,,2.2,omitted
minkowski,83.18,47.27,,2.2,omitted
minkowski,83.18,47.27,13.64,2.2,omitted
minkowski,83.18,,,2.3,omitted
minkowski,83.18,46.82,,2.3,omitted
minkowski,83.18,46.82,13.18,2.3,omitted
minkowski,83.64,,,2.4,omitted
minkowski,83.64,46.82,,2.4,omitted
minkowski,83.64,46.82,13.18,2.4,omitted
minkowski,83.64,,,2.5,omitted
minkowski,83.64,47.27,,2.5,omitted
minkowski,83.64,47.27,13.64,2.5,omitted
minkowski,83.64,,,2.6,omitted
minkowski,83.64,47.27,,2.6,omitted
minkowski,83.64,47.27,15,2.6,omitted
minkowski,83.18,,,2.7,omitted
minkowski,83.18,47.27,,2.7,omitted
minkowski,83.18,47.27,15,2.7,omitted
minkowski,83.64,,,2.8,omitted
minkowski,83.64,47.27,,2.8,omitted
minkowski,83.64,47.27,14.55,2.8,omitted
minkowski,83.64,,,2.9,omitted
minkowski,83.64,47.27,,2.9,omitted
minkowski,83.64,47.27,14.55,2.9,omitted
minkowski,83.64,,,3,omitted
minkowski,83.64,46.82,,3,omitted
minkowski,83.64,46.82,14.55,3,omitted
minkowski,83.64,,,3.1,omitted
minkowski,83.64,46.82,,3.1,omitted
minkowski,83.64,46.82,14.55,3.1,omitted
minkowski,83.18,,,3.2,omitted
minkowski,83.18,46.82,,3.2,omitted
minkowski,83.18,46.82,14.55,3.2,omitted
minkowski,81.36,,,4.2,omitted
minkowski,81.36,43.64,,4.2,omitted
minkowski,81.36,43.64,16.36,4.2,omitted
