comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
minkowski,97.27,,,1.6,standardize
minkowski,97.27,73.64,,1.6,standardize
minkowski,97.27,73.64,27.73,1.6,standardize
minkowski,97.73,,,1.7,standardize
minkowski,97.73,74.09,,1.7,standardize
minkowski,97.73,74.09,26.82,1.7,standardize
minkowski,97.73,,,1.8,standardize
minkowski,97.73,74.09,,1.8,standardize
minkowski,97.73,74.09,27.27,1.8,standardize
minkowski,97.73,,,1.9,standardize
minkowski,97.73,74.55,,1.9,standardize
minkowski,97.73,74.55,27.73,1.9,standardize
minkowski,97.73,,,2,standardize
minkowski,97.73,74.55,,2,standardize
minkowski,97.73,74.55,27.73,2,standardize
minkowski,97.27,,,2.1,standardize
minkowski,97.27,73.18,,2.1,standardize
minkowski,97.27,73.18,28.18,2.1,standardize
minkowski,96.82,,,2.2,standardize
minkowski,96.82,72.27,,2.2,standardize
minkowski,96.82,72.27,28.64,2.2,standardize
minkowski,96.82,,,2.3,standardize
minkowski,96.82,72.73,,2.3,standardize
minkowski,96.82,72.73,28.64,2.3,standardize
minkowski,96.36,,,2.4,standardize
minkowski,96.36,72.73,,2.4,standardize
minkowski,96.36,72.73,28.64,2.4,standardize
minkowski,96.36,,,2.5,standardize
minkowski,96.36,72.27,,2.5,standardize
minkowski,96.36,72.27,28.18,2.5,standardize
minkowski,95.91,,,2.6,standardize
minkowski,95.91,72.73,,2.6,standardize
minkowski,95.91,72.73,29.55,2.6,standardize
