comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
minkowski,94.55,,,1.2,subtract_mean
minkowski,94.55,69.09,,1.2,subtract_mean
minkowski,94.55,69.09,28.64,1.2,subtract_mean
minkowski,94.55,,,1.3,subtract_mean
minkowski,94.55,69.55,,1.3,subtract_mean
minkowski,94.55,69.55,28.18,1.3,subtract_mean
minkowski,95,,,1.4,subtract_mean
minkowski,95,70,,1.4,subtract_mean
minkowski,95,70,29.09,1.4,subtract_mean
minkowski,94.55,,,1.5,subtract_mean
minkowski,94.55,69.55,,1.5,subtract_mean
minkowski,94.55,69.55,28.64,1.5,subtract_mean
minkowski,94.55,,,1.6,subtract_mean
minkowski,94.55,70,,1.6,subtract_mean
minkowski,94.55,70,27.27,1.6,subtract_mean
minkowski,94.55,,,1.7,subtract_mean
minkowski,94.55,70.91,,1.7,subtract_mean
minkowski,94.55,70.91,28.18,1.7,subtract_mean
minkowski,94.55,,,1.8,subtract_mean
minkowski,94.55,71.36,,1.8,subtract_mean
minkowski,94.55,71.36,27.73,1.8,subtract_mean
minkowski,95,,,1.9,subtract_mean
minkowski,95,71.82,,1.9,subtract_mean
minkowski,95,71.82,26.82,1.9,subtract_mean
minkowski,94.55,,,2,subtract_mean
minkowski,94.55,71.82,,2,subtract_mean
minkowski,94.55,71.82,26.36,2,subtract_mean
minkowski,94.55,,,2.1,subtract_mean
minkowski,94.55,70.45,,2.1,subtract_mean
minkowski,94.55,70.45,25.91,2.1,subtract_mean
minkowski,94.55,,,2.2,subtract_mean
minkowski,94.55,70,,2.2,subtract_mean
minkowski,94.55,70,26.36,2.2,subtract_mean
