comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
minkowski,67.73,,,2,omitted
minkowski,67.73,33.18,,2,omitted
minkowski,67.73,33.18,11.82,2,omitted
minkowski,68.18,,,2.1,omitted
minkowski,68.18,33.64,,2.1,omitted
minkowski,68.18,33.64,11.82,2.1,omitted
minkowski,69.55,,,2.2,omitted
minkowski,69.55,35,,2.2,omitted
minkowski,69.55,35,12.27,2.2,omitted
minkowski,69.55,,,2.3,omitted
minkowski,69.55,35.45,,2.3,omitted
minkowski,69.55,35.45,10.91,2.3,omitted
minkowski,69.55,,,2.4,omitted
minkowski,69.55,35,,2.4,omitted
minkowski,69.55,35,10.45,2.4,omitted
minkowski,69.55,,,2.5,omitted
minkowski,69.55,35,,2.5,omitted
minkowski,69.55,35,10.91,2.5,omitted
minkowski,69.09,,,2.6,omitted
minkowski,69.09,35,,2.6,omitted
minkowski,69.09,35,10.91,2.6,omitted
minkowski,68.64,,,2.7,omitted
minkowski,68.64,34.55,,2.7,omitted
minkowski,68.64,34.55,10.91,2.7,omitted
minkowski,68.18,,,2.8,omitted
minkowski,68.18,34.55,,2.8,omitted
minkowski,68.18,34.55,10.91,2.8,omitted
minkowski,67.73,,,2.9,omitted
minkowski,67.73,34.55,,2.9,omitted
minkowski,67.73,34.55,10.91,2.9,omitted
minkowski,67.73,,,3,omitted
minkowski,67.73,35.45,,3,omitted
minkowski,67.73,35.45,10.91,3,omitted
minkowski,65,,,4.2,omitted
minkowski,65,29.09,,4.2,omitted
minkowski,65,29.09,13.64,4.2,omitted
