comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
minkowski,85.45,,,1.3,standardize
minkowski,85.45,49.55,,1.3,standardize
minkowski,85.45,49.55,18.18,1.3,standardize
minkowski,87.73,,,1.4,standardize
minkowski,87.73,49.55,,1.4,standardize
minkowski,87.73,49.55,17.27,1.4,standardize
minkowski,88.64,,,1.5,standardize
minkowski,88.64,50.45,,1.5,standardize
minkowski,88.64,50.45,16.82,1.5,standardize
minkowski,89.09,,,1.6,standardize
minkowski,89.09,51.82,,1.6,standardize
minkowski,89.09,51.82,16.82,1.6,standardize
minkowski,89.55,,,1.7,standardize
minkowski,89.55,50.91,,1.7,standardize
minkowski,89.55,50.91,16.36,1.7,standardize
minkowski,87.73,,,1.8,standardize
minkowski,87.73,50.45,,1.8,standardize
minkowski,87.73,50.45,15.91,1.8,standardize
minkowski,87.73,,,1.9,standardize
minkowski,87.73,50,,1.9,standardize
minkowski,87.73,50,17.27,1.9,standardize
minkowski,88.18,,,2,standardize
minkowski,88.18,50,,2,standardize
minkowski,88.18,50,17.27,2,standardize
minkowski,88.64,,,2.1,standardize
minkowski,88.64,51.36,,2.1,standardize
minkowski,88.64,51.36,18.18,2.1,standardize
minkowski,88.18,,,2.2,standardize
minkowski,88.18,50.91,,2.2,standardize
minkowski,88.18,50.91,17.73,2.2,standardize
minkowski,87.73,,,2.3,standardize
minkowski,87.73,50,,2.3,standardize
minkowski,87.73,50,17.73,2.3,standardize
