comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
schroff,73.18,,,20,rank-list
schroff,73.18,44.09,,20,rank-list
schroff,73.18,44.09,14.55,20,rank-list
schroff,91.82,,,40,rank-list
schroff,91.82,65.45,,40,rank-list
schroff,91.82,65.45,19.09,40,rank-list
schroff,96.36,,,60,rank-list
schroff,96.36,71.82,,60,rank-list
schroff,96.36,71.82,23.64,60,rank-list
schroff,97.27,,,86,rank-list
schroff,97.27,71.36,,86,rank-list
schroff,97.27,71.36,27.27,86,rank-list
