comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
schroff,44.55,,,10,rank-list
schroff,44.55,27.73,,10,rank-list
schroff,44.55,27.73,16.36,10,rank-list
schroff,70,,,20,rank-list
schroff,70,35.91,,20,rank-list
schroff,70,35.91,16.36,20,rank-list
schroff,76.36,,,30,rank-list
schroff,76.36,46.82,,30,rank-list
schroff,76.36,46.82,13.18,30,rank-list
schroff,83.64,,,43,rank-list
schroff,83.64,50.45,,43,rank-list
schroff,83.64,50.45,12.73,43,rank-list
