comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,97.27,,,1,1,rank-list
wartmann,97.27,72.27,,1,1,rank-list
wartmann,97.27,72.27,27.27,1,1,rank-list
wartmann,97.27,,,1.1,1,rank-list
wartmann,97.27,71.82,,1.1,1,rank-list
wartmann,97.27,71.82,27.27,1.1,1,rank-list
wartmann,97.27,,,1.2,1,rank-list
wartmann,97.27,71.82,,1.2,1,rank-list
wartmann,97.27,71.82,26.36,1.2,1,rank-list
wartmann,97.27,,,1.3,1,rank-list
wartmann,97.27,71.36,,1.3,1,rank-list
wartmann,97.27,71.36,26.36,1.3,1,rank-list
wartmann,97.27,,,1.4,1,rank-list
wartmann,97.27,71.82,,1.4,1,rank-list
wartmann,97.27,71.82,25.45,1.4,1,rank-list
wartmann,97.27,,,1.5,1,rank-list
wartmann,97.27,71.36,,1.5,1,rank-list
wartmann,97.27,71.36,25,1.5,1,rank-list
wartmann,97.73,,,1.6,1,rank-list
wartmann,97.73,71.82,,1.6,1,rank-list
wartmann,97.73,71.82,25,1.6,1,rank-list
wartmann,97.73,,,1.7,1,rank-list
wartmann,97.73,72.73,,1.7,1,rank-list
wartmann,97.73,72.73,25,1.7,1,rank-list
wartmann,97.27,,,1.8,1,rank-list
wartmann,97.27,72.27,,1.8,1,rank-list
wartmann,97.27,72.27,25.45,1.8,1,rank-list
wartmann,97.27,,,1.9,1,rank-list
wartmann,97.27,71.36,,1.9,1,rank-list
wartmann,97.27,71.36,25.91,1.9,1,rank-list
wartmann,97.27,,,2,1,rank-list
wartmann,97.27,71.36,,2,1,rank-list
wartmann,97.27,71.36,25.45,2,1,rank-list
