comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),runtime (ms),alpha,beta,preprocess_method,preprocess_time (ms)
wartmann,97.27,,,4649.3633,1.0,1.0,rank-list,992.1200
wartmann,97.27,72.27,,4654.4379,1.0,1.0,rank-list,1002.9361
wartmann,97.27,72.27,27.27,4664.3418,1.0,1.0,rank-list,1012.0025
wartmann,97.27,,,4846.7840,1.0,1.1,rank-list,1027.4437
wartmann,97.27,72.27,,4895.4668,1.0,1.1,rank-list,1036.1606
wartmann,97.27,72.27,26.36,4926.9986,1.0,1.1,rank-list,1040.4645
wartmann,97.27,,,4953.3221,1.0,1.2,rank-list,1059.5757
wartmann,97.27,72.27,,4982.1835,1.0,1.2,rank-list,1059.6733
wartmann,97.27,72.27,26.82,4973.5086,1.0,1.2,rank-list,1061.5538
wartmann,97.27,,,5047.2900,1.0,1.3,rank-list,1072.9278
wartmann,97.27,72.27,,5024.6866,1.0,1.3,rank-list,1071.7360
wartmann,97.27,72.27,26.82,5022.3903,1.0,1.3,rank-list,1070.7894
wartmann,97.73,,,5038.0009,1.0,1.4,rank-list,1065.9092
wartmann,97.73,72.27,,5298.3714,1.0,1.4,rank-list,1069.1836
wartmann,97.73,72.27,27.27,5411.2197,1.0,1.4,rank-list,1115.5779
wartmann,97.73,,,5704.9276,1.0,1.5,rank-list,1194.9453
wartmann,97.73,72.27,,5638.4176,1.0,1.5,rank-list,1205.1025
wartmann,97.73,72.27,27.27,5628.0167,1.0,1.5,rank-list,1214.1213
wartmann,97.73,,,5617.0080,1.0,1.6,rank-list,1176.3995
wartmann,97.73,71.82,,5585.6510,1.0,1.6,rank-list,1179.1699
wartmann,97.73,71.82,27.27,5585.3322,1.0,1.6,rank-list,1179.9930
wartmann,97.73,,,5611.7683,1.0,1.7,rank-list,1183.8355
wartmann,97.73,71.82,,5575.5659,1.0,1.7,rank-list,1186.3980
wartmann,97.73,71.82,27.27,5581.0373,1.0,1.7,rank-list,1190.3365
wartmann,97.73,,,5565.5645,1.0,1.8,rank-list,1172.8579
wartmann,97.73,71.82,,5549.2743,1.0,1.8,rank-list,1173.4602
wartmann,97.73,71.82,26.82,5557.2900,1.0,1.8,rank-list,1171.9705
wartmann,97.73,,,5552.1666,1.0,1.9,rank-list,1184.3375
wartmann,97.73,72.27,,5564.8310,1.0,1.9,rank-list,1181.5791
wartmann,97.73,72.27,26.82,5509.5588,1.0,1.9,rank-list,1181.5698
wartmann,97.73,,,5306.3739,1.0,2.0,rank-list,1144.4635
wartmann,97.73,71.82,,5091.5900,1.0,2.0,rank-list,1143.6873
wartmann,97.73,71.82,26.82,5024.6529,1.0,2.0,rank-list,1113.6858
wartmann,97.73,,,5350.5233,1.0,2.1,rank-list,1065.2482
wartmann,97.73,71.82,,5204.1019,1.0,2.1,rank-list,1107.0215
wartmann,97.73,71.82,27.27,5298.1285,1.0,2.1,rank-list,1095.1817
wartmann,97.73,,,5287.5975,1.0,2.2,rank-list,1192.2071
wartmann,97.73,72.27,,5256.5241,1.0,2.2,rank-list,1150.1303
wartmann,97.73,72.27,27.27,5342.5288,1.0,2.2,rank-list,1133.0457
wartmann,97.73,,,5590.5040,1.0,2.3,rank-list,1207.8623
wartmann,97.73,71.36,,5614.9656,1.0,2.3,rank-list,1212.6004
wartmann,97.73,71.36,26.82,5632.5745,1.0,2.3,rank-list,1203.5908
wartmann,97.73,,,5621.3066,1.0,2.4,rank-list,1188.6707
wartmann,97.73,71.36,,5610.5239,1.0,2.4,rank-list,1188.2108
wartmann,97.73,71.36,27.27,5610.2856,1.0,2.4,rank-list,1188.2705
wartmann,97.73,,,5642.1773,1.0,2.5,rank-list,1185.5679
wartmann,97.73,71.36,,5631.3485,1.0,2.5,rank-list,1182.4979
wartmann,97.73,71.36,27.27,5634.9048,1.0,2.5,rank-list,1181.4330
wartmann,97.73,,,5602.2556,1.0,2.6,rank-list,1195.1875
wartmann,97.73,71.36,,5580.9598,1.0,2.6,rank-list,1190.4029
wartmann,97.73,71.36,27.27,5540.7468,1.0,2.6,rank-list,1186.9824
wartmann,97.73,,,5423.3051,1.0,2.7,rank-list,1148.9987
wartmann,97.73,72.27,,5399.5501,1.0,2.7,rank-list,1143.2385
wartmann,97.73,72.27,27.73,5332.0024,1.0,2.7,rank-list,1143.6882
wartmann,97.73,,,5029.1338,1.0,2.8,rank-list,1065.4910
wartmann,97.73,72.27,,5216.6013,1.0,2.8,rank-list,1067.5733
wartmann,97.73,72.27,28.18,5329.1203,1.0,2.8,rank-list,1101.3222
wartmann,97.27,,,5657.3889,1.0,2.9,rank-list,1201.9360
wartmann,97.27,72.27,,5633.3104,1.0,2.9,rank-list,1196.8495
wartmann,97.27,72.27,27.73,5622.8863,1.0,2.9,rank-list,1194.8535
wartmann,97.27,,,5555.5155,1.0,3.0,rank-list,1188.3312
wartmann,97.27,72.27,,6226.5178,1.0,3.0,rank-list,1187.4940
wartmann,97.27,72.27,26.36,5884.7369,1.0,3.0,rank-list,1164.2517
wartmann,96.82,,,5008.7996,1.0,4.0,rank-list,1031.1154
wartmann,96.82,72.27,,5038.6841,1.0,4.0,rank-list,1043.2465
wartmann,96.82,72.27,27.27,5051.6646,1.0,4.0,rank-list,1049.4088
wartmann,96.82,,,5177.9852,1.0,5.0,rank-list,1065.4620
wartmann,96.82,71.82,,5186.9239,1.0,5.0,rank-list,1067.0315
wartmann,96.82,71.82,27.27,5296.9099,1.0,5.0,rank-list,1067.6483
wartmann,95.91,,,5491.7702,1.0,6.0,rank-list,1154.9025
wartmann,95.91,71.36,,5521.7562,1.0,6.0,rank-list,1171.1868
wartmann,95.91,71.36,28.64,5497.9605,1.0,6.0,rank-list,1162.1649
wartmann,94.55,,,5438.3758,1.0,7.0,rank-list,1143.5219
wartmann,94.55,70.00,,5447.6824,1.0,7.0,rank-list,1143.1222
wartmann,94.55,70.00,27.73,5460.4411,1.0,7.0,rank-list,1143.0615
wartmann,94.09,,,5459.7520,1.0,8.0,rank-list,1137.2360
wartmann,94.09,68.64,,5444.3398,1.0,8.0,rank-list,1134.4009
wartmann,94.09,68.64,26.36,5457.9039,1.0,8.0,rank-list,1139.5510
