comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,97.27,,,1,1.1,rank-list
wartmann,97.27,72.27,,1,1.1,rank-list
wartmann,97.27,72.27,26.36,1,1.1,rank-list
wartmann,97.27,,,1,1.2,rank-list
wartmann,97.27,72.27,,1,1.2,rank-list
wartmann,97.27,72.27,26.82,1,1.2,rank-list
wartmann,97.27,,,1,1.3,rank-list
wartmann,97.27,72.27,,1,1.3,rank-list
wartmann,97.27,72.27,26.82,1,1.3,rank-list
wartmann,97.73,,,1,1.4,rank-list
wartmann,97.73,72.27,,1,1.4,rank-list
wartmann,97.73,72.27,27.27,1,1.4,rank-list
wartmann,97.73,,,1,1.5,rank-list
wartmann,97.73,72.27,,1,1.5,rank-list
wartmann,97.73,72.27,27.27,1,1.5,rank-list
wartmann,97.73,,,1,1.6,rank-list
wartmann,97.73,71.82,,1,1.6,rank-list
wartmann,97.73,71.82,27.27,1,1.6,rank-list
wartmann,97.73,,,1,1.7,rank-list
wartmann,97.73,71.82,,1,1.7,rank-list
wartmann,97.73,71.82,27.27,1,1.7,rank-list
wartmann,97.73,,,1,1.8,rank-list
wartmann,97.73,71.82,,1,1.8,rank-list
wartmann,97.73,71.82,26.82,1,1.8,rank-list
wartmann,97.73,,,1,1.9,rank-list
wartmann,97.73,72.27,,1,1.9,rank-list
wartmann,97.73,72.27,26.82,1,1.9,rank-list
wartmann,97.73,,,1,2,rank-list
wartmann,97.73,71.82,,1,2,rank-list
wartmann,97.73,71.82,26.82,1,2,rank-list
wartmann,97.73,,,1,2.1,rank-list
wartmann,97.73,71.82,,1,2.1,rank-list
wartmann,97.73,71.82,27.27,1,2.1,rank-list
