comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,97.27,,,1.1,1.1,rank-list
wartmann,97.27,71.82,,1.1,1.1,rank-list
wartmann,97.27,71.82,27.27,1.1,1.1,rank-list
wartmann,97.27,,,1.2,1.2,rank-list
wartmann,97.27,71.82,,1.2,1.2,rank-list
wartmann,97.27,71.82,26.36,1.2,1.2,rank-list
wartmann,97.27,,,1.3,1.3,rank-list
wartmann,97.27,71.82,,1.3,1.3,rank-list
wartmann,97.27,71.82,26.36,1.3,1.3,rank-list
wartmann,96.82,,,1.4,1.4,rank-list
wartmann,96.82,71.36,,1.4,1.4,rank-list
wartmann,96.82,71.36,25.45,1.4,1.4,rank-list
wartmann,96.82,,,1.5,1.5,rank-list
wartmann,96.82,71.82,,1.5,1.5,rank-list
wartmann,96.82,71.82,25.91,1.5,1.5,rank-list
wartmann,96.82,,,1.6,1.6,rank-list
wartmann,96.82,71.82,,1.6,1.6,rank-list
wartmann,96.82,71.82,26.36,1.6,1.6,rank-list
wartmann,96.82,,,1.7,1.7,rank-list
wartmann,96.82,71.82,,1.7,1.7,rank-list
wartmann,96.82,71.82,25.91,1.7,1.7,rank-list
wartmann,96.82,,,1.8,1.8,rank-list
wartmann,96.82,71.82,,1.8,1.8,rank-list
wartmann,96.82,71.82,25.91,1.8,1.8,rank-list
wartmann,96.82,,,1.9,1.9,rank-list
wartmann,96.82,70.91,,1.9,1.9,rank-list
wartmann,96.82,70.91,26.82,1.9,1.9,rank-list
wartmann,97.27,,,2,2,rank-list
wartmann,97.27,70.91,,2,2,rank-list
wartmann,97.27,70.91,27.27,2,2,rank-list
wartmann,96.82,,,2.1,2.1,rank-list
wartmann,96.82,70,,2.1,2.1,rank-list
wartmann,96.82,70,27.27,2.1,2.1,rank-list
