comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,97.27,,,1.25,1.5,rank-list
wartmann,97.27,71.82,,1.25,1.5,rank-list
wartmann,97.27,71.82,27.27,1.25,1.5,rank-list
wartmann,96.82,,,1.25,1.75,rank-list
wartmann,96.82,72.27,,1.25,1.75,rank-list
wartmann,96.82,72.27,26.82,1.25,1.75,rank-list
wartmann,97.27,,,1.25,2,rank-list
wartmann,97.27,72.27,,1.25,2,rank-list
wartmann,97.27,72.27,26.36,1.25,2,rank-list
wartmann,97.27,,,1.25,2.25,rank-list
wartmann,97.27,71.82,,1.25,2.25,rank-list
wartmann,97.27,71.82,26.82,1.25,2.25,rank-list
wartmann,97.27,,,1.25,2.5,rank-list
wartmann,97.27,72.73,,1.25,2.5,rank-list
wartmann,97.27,72.73,26.82,1.25,2.5,rank-list
wartmann,96.82,,,1.25,2.75,rank-list
wartmann,96.82,73.64,,1.25,2.75,rank-list
wartmann,96.82,73.64,27.27,1.25,2.75,rank-list
wartmann,96.82,,,1.25,3,rank-list
wartmann,96.82,72.73,,1.25,3,rank-list
wartmann,96.82,72.73,26.82,1.25,3,rank-list
wartmann,97.27,,,1.5,1.25,rank-list
wartmann,97.27,71.82,,1.5,1.25,rank-list
wartmann,97.27,71.82,25,1.5,1.25,rank-list
wartmann,96.82,,,1.5,1.75,rank-list
wartmann,96.82,71.36,,1.5,1.75,rank-list
wartmann,96.82,71.36,26.36,1.5,1.75,rank-list
wartmann,96.82,,,1.5,2,rank-list
wartmann,96.82,71.36,,1.5,2,rank-list
wartmann,96.82,71.36,26.36,1.5,2,rank-list
wartmann,97.27,,,1.5,2.25,rank-list
wartmann,97.27,71.36,,1.5,2.25,rank-list
wartmann,97.27,71.36,27.27,1.5,2.25,rank-list
wartmann,96.82,,,1.5,2.5,rank-list
wartmann,96.82,71.82,,1.5,2.5,rank-list
wartmann,96.82,71.82,27.73,1.5,2.5,rank-list
wartmann,96.82,,,1.5,2.75,rank-list
wartmann,96.82,72.73,,1.5,2.75,rank-list
wartmann,96.82,72.73,27.73,1.5,2.75,rank-list
wartmann,96.36,,,1.5,3,rank-list
wartmann,96.36,72.73,,1.5,3,rank-list
wartmann,96.36,72.73,26.82,1.5,3,rank-list
wartmann,97.73,,,1.75,1.25,rank-list
wartmann,97.73,71.36,,1.75,1.25,rank-list
wartmann,97.73,71.36,25.91,1.75,1.25,rank-list
wartmann,97.27,,,1.75,1.5,rank-list
wartmann,97.27,71.36,,1.75,1.5,rank-list
wartmann,97.27,71.36,25.91,1.75,1.5,rank-list
wartmann,96.82,,,1.75,2,rank-list
wartmann,96.82,71.82,,1.75,2,rank-list
wartmann,96.82,71.82,26.82,1.75,2,rank-list
wartmann,96.36,,,1.75,2.25,rank-list
wartmann,96.36,71.82,,1.75,2.25,rank-list
wartmann,96.36,71.82,27.73,1.75,2.25,rank-list
wartmann,96.82,,,1.75,2.5,rank-list
wartmann,96.82,72.27,,1.75,2.5,rank-list
wartmann,96.82,72.27,28.64,1.75,2.5,rank-list
wartmann,96.36,,,1.75,2.75,rank-list
wartmann,96.36,71.82,,1.75,2.75,rank-list
wartmann,96.36,71.82,28.18,1.75,2.75,rank-list
wartmann,96.36,,,1.75,3,rank-list
wartmann,96.36,71.82,,1.75,3,rank-list
wartmann,96.36,71.82,27.27,1.75,3,rank-list
wartmann,97.73,,,2,1.25,rank-list
wartmann,97.73,71.36,,2,1.25,rank-list
wartmann,97.73,71.36,25.91,2,1.25,rank-list
wartmann,97.27,,,2,1.5,rank-list
wartmann,97.27,70.91,,2,1.5,rank-list
wartmann,97.27,70.91,26.36,2,1.5,rank-list
wartmann,97.27,,,2,1.75,rank-list
wartmann,97.27,70.91,,2,1.75,rank-list
wartmann,97.27,70.91,26.36,2,1.75,rank-list
wartmann,96.36,,,2,2.25,rank-list
wartmann,96.36,70.45,,2,2.25,rank-list
wartmann,96.36,70.45,28.18,2,2.25,rank-list
wartmann,95.91,,,2,2.5,rank-list
wartmann,95.91,70.45,,2,2.5,rank-list
wartmann,95.91,70.45,28.18,2,2.5,rank-list
wartmann,96.36,,,2,2.75,rank-list
wartmann,96.36,70,,2,2.75,rank-list
wartmann,96.36,70,28.64,2,2.75,rank-list
wartmann,96.36,,,2,3,rank-list
wartmann,96.36,70,,2,3,rank-list
wartmann,96.36,70,28.64,2,3,rank-list
wartmann,97.73,,,2.25,1.25,rank-list
wartmann,97.73,70,,2.25,1.25,rank-list
wartmann,97.73,70,25,2.25,1.25,rank-list
wartmann,97.27,,,2.25,1.5,rank-list
wartmann,97.27,70,,2.25,1.5,rank-list
wartmann,97.27,70,25.45,2.25,1.5,rank-list
wartmann,97.27,,,2.25,1.75,rank-list
wartmann,97.27,69.09,,2.25,1.75,rank-list
wartmann,97.27,69.09,26.36,2.25,1.75,rank-list
wartmann,96.36,,,2.25,2,rank-list
wartmann,96.36,69.55,,2.25,2,rank-list
wartmann,96.36,69.55,27.73,2.25,2,rank-list
wartmann,96.36,,,2.25,2.5,rank-list
wartmann,96.36,69.55,,2.25,2.5,rank-list
wartmann,96.36,69.55,28.18,2.25,2.5,rank-list
wartmann,96.82,,,2.25,2.75,rank-list
wartmann,96.82,69.55,,2.25,2.75,rank-list
wartmann,96.82,69.55,27.73,2.25,2.75,rank-list
wartmann,96.36,,,2.25,3,rank-list
wartmann,96.36,69.55,,2.25,3,rank-list
wartmann,96.36,69.55,27.27,2.25,3,rank-list
wartmann,96.82,,,2.5,1.25,rank-list
wartmann,96.82,68.64,,2.5,1.25,rank-list
wartmann,96.82,68.64,24.09,2.5,1.25,rank-list
wartmann,96.82,,,2.5,1.5,rank-list
wartmann,96.82,68.18,,2.5,1.5,rank-list
wartmann,96.82,68.18,25,2.5,1.5,rank-list
wartmann,96.36,,,2.5,1.75,rank-list
wartmann,96.36,67.73,,2.5,1.75,rank-list
wartmann,96.36,67.73,25,2.5,1.75,rank-list
wartmann,96.36,,,2.5,2,rank-list
wartmann,96.36,67.27,,2.5,2,rank-list
wartmann,96.36,67.27,26.36,2.5,2,rank-list
wartmann,96.36,,,2.5,2.25,rank-list
wartmann,96.36,67.73,,2.5,2.25,rank-list
wartmann,96.36,67.73,26.36,2.5,2.25,rank-list
wartmann,96.82,,,2.5,2.75,rank-list
wartmann,96.82,66.82,,2.5,2.75,rank-list
wartmann,96.82,66.82,26.36,2.5,2.75,rank-list
wartmann,96.36,,,2.5,3,rank-list
wartmann,96.36,66.82,,2.5,3,rank-list
wartmann,96.36,66.82,27.73,2.5,3,rank-list
wartmann,96.82,,,2.75,1.25,rank-list
wartmann,96.82,67.27,,2.75,1.25,rank-list
wartmann,96.82,67.27,24.09,2.75,1.25,rank-list
wartmann,96.36,,,2.75,1.5,rank-list
wartmann,96.36,67.27,,2.75,1.5,rank-list
wartmann,96.36,67.27,25.91,2.75,1.5,rank-list
wartmann,96.36,,,2.75,1.75,rank-list
wartmann,96.36,67.73,,2.75,1.75,rank-list
wartmann,96.36,67.73,26.36,2.75,1.75,rank-list
wartmann,96.36,,,2.75,2,rank-list
wartmann,96.36,66.36,,2.75,2,rank-list
wartmann,96.36,66.36,27.27,2.75,2,rank-list
wartmann,96.36,,,2.75,2.25,rank-list
wartmann,96.36,66.36,,2.75,2.25,rank-list
wartmann,96.36,66.36,26.82,2.75,2.25,rank-list
wartmann,96.82,,,2.75,2.5,rank-list
wartmann,96.82,66.36,,2.75,2.5,rank-list
wartmann,96.82,66.36,26.36,2.75,2.5,rank-list
wartmann,96.36,,,2.75,3,rank-list
wartmann,96.36,66.36,,2.75,3,rank-list
wartmann,96.36,66.36,27.73,2.75,3,rank-list
wartmann,96.36,,,3,1.25,rank-list
wartmann,96.36,66.36,,3,1.25,rank-list
wartmann,96.36,66.36,25.91,3,1.25,rank-list
wartmann,96.36,,,3,1.5,rank-list
wartmann,96.36,65.45,,3,1.5,rank-list
wartmann,96.36,65.45,27.27,3,1.5,rank-list
wartmann,96.36,,,3,1.75,rank-list
wartmann,96.36,65.45,,3,1.75,rank-list
wartmann,96.36,65.45,28.18,3,1.75,rank-list
wartmann,96.36,,,3,2,rank-list
wartmann,96.36,65,,3,2,rank-list
wartmann,96.36,65,26.36,3,2,rank-list
wartmann,96.36,,,3,2.25,rank-list
wartmann,96.36,65,,3,2.25,rank-list
wartmann,96.36,65,26.36,3,2.25,rank-list
wartmann,96.36,,,3,2.5,rank-list
wartmann,96.36,65.91,,3,2.5,rank-list
wartmann,96.36,65.91,26.36,3,2.5,rank-list
wartmann,96.36,,,3,2.75,rank-list
wartmann,96.36,65.91,,3,2.75,rank-list
wartmann,96.36,65.91,26.36,3,2.75,rank-list
