comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,86.36,,,1.3,1,rank-list
wartmann,86.36,49.55,,1.3,1,rank-list
wartmann,86.36,49.55,15.45,1.3,1,rank-list
wartmann,85.91,,,1.4,1,rank-list
wartmann,85.91,49.09,,1.4,1,rank-list
wartmann,85.91,49.09,15,1.4,1,rank-list
wartmann,86.36,,,1.5,1,rank-list
wartmann,86.36,49.09,,1.5,1,rank-list
wartmann,86.36,49.09,15.45,1.5,1,rank-list
wartmann,86.36,,,1.6,1,rank-list
wartmann,86.36,47.73,,1.6,1,rank-list
wartmann,86.36,47.73,16.36,1.6,1,rank-list
wartmann,85.91,,,1.7,1,rank-list
wartmann,85.91,47.73,,1.7,1,rank-list
wartmann,85.91,47.73,16.36,1.7,1,rank-list
wartmann,85,,,1.8,1,rank-list
wartmann,85,47.73,,1.8,1,rank-list
wartmann,85,47.73,16.36,1.8,1,rank-list
wartmann,85,,,1.9,1,rank-list
wartmann,85,47.73,,1.9,1,rank-list
wartmann,85,47.73,17.27,1.9,1,rank-list
wartmann,85,,,2,1,rank-list
wartmann,85,47.27,,2,1,rank-list
wartmann,85,47.27,17.27,2,1,rank-list
wartmann,85,,,2.1,1,rank-list
wartmann,85,45.91,,2.1,1,rank-list
wartmann,85,45.91,16.82,2.1,1,rank-list
wartmann,84.55,,,2.2,1,rank-list
wartmann,84.55,45,,2.2,1,rank-list
wartmann,84.55,45,16.82,2.2,1,rank-list
wartmann,84.09,,,2.3,1,rank-list
wartmann,84.09,44.55,,2.3,1,rank-list
wartmann,84.09,44.55,15.91,2.3,1,rank-list
