comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,86.36,,,1,2,rank-list
wartmann,86.36,49.09,,1,2,rank-list
wartmann,86.36,49.09,15,1,2,rank-list
wartmann,85.91,,,1,2.1,rank-list
wartmann,85.91,50,,1,2.1,rank-list
wartmann,85.91,50,15,1,2.1,rank-list
wartmann,85.45,,,1,2.2,rank-list
wartmann,85.45,50.45,,1,2.2,rank-list
wartmann,85.45,50.45,15,1,2.2,rank-list
wartmann,85.45,,,1,2.3,rank-list
wartmann,85.45,51.36,,1,2.3,rank-list
wartmann,85.45,51.36,15,1,2.3,rank-list
wartmann,85,,,1,2.4,rank-list
wartmann,85,51.36,,1,2.4,rank-list
wartmann,85,51.36,15,1,2.4,rank-list
wartmann,85,,,1,2.5,rank-list
wartmann,85,50.91,,1,2.5,rank-list
wartmann,85,50.91,15,1,2.5,rank-list
wartmann,85,,,1,2.6,rank-list
wartmann,85,50.91,,1,2.6,rank-list
wartmann,85,50.91,15,1,2.6,rank-list
wartmann,84.55,,,1,2.7,rank-list
wartmann,84.55,50.45,,1,2.7,rank-list
wartmann,84.55,50.45,15.45,1,2.7,rank-list
wartmann,83.64,,,1,2.8,rank-list
wartmann,83.64,50.45,,1,2.8,rank-list
wartmann,83.64,50.45,15.45,1,2.8,rank-list
wartmann,83.18,,,1,2.9,rank-list
wartmann,83.18,50.45,,1,2.9,rank-list
wartmann,83.18,50.45,15.91,1,2.9,rank-list
wartmann,83.18,,,1,3,rank-list
wartmann,83.18,50.45,,1,3,rank-list
wartmann,83.18,50.45,15.45,1,3,rank-list
