comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),runtime (ms),alpha,beta,preprocess_method,preprocess_time (ms)
wartmann,85.91,,,2200.4061,1.0,1.0,rank-list,509.7198
wartmann,85.91,50.00,,2185.0754,1.0,1.0,rank-list,507.0503
wartmann,85.91,50.00,14.55,2181.8514,1.0,1.0,rank-list,506.2612
wartmann,86.36,,,2279.2626,1.1,1.1,rank-list,507.5765
wartmann,86.36,50.91,,2591.3202,1.1,1.1,rank-list,515.1999
wartmann,86.36,50.91,15.45,2512.5865,1.1,1.1,rank-list,521.9276
wartmann,86.82,,,2565.3914,1.2,1.2,rank-list,520.2635
wartmann,86.82,49.55,,2497.0822,1.2,1.2,rank-list,530.1419
wartmann,86.82,49.55,15.45,2461.7284,1.2,1.2,rank-list,529.6406
wartmann,86.82,,,2409.9564,1.3,1.3,rank-list,527.8634
wartmann,86.82,49.09,,2423.0157,1.3,1.3,rank-list,528.9105
wartmann,86.82,49.09,15.00,2423.7386,1.3,1.3,rank-list,530.3208
wartmann,87.27,,,2425.3504,1.4,1.4,rank-list,536.1472
wartmann,87.27,47.73,,2441.8387,1.4,1.4,rank-list,536.1348
wartmann,87.27,47.73,15.91,2442.8575,1.4,1.4,rank-list,538.1343
wartmann,86.82,,,2455.8960,1.5,1.5,rank-list,539.5156
wartmann,86.82,48.64,,2470.7383,1.5,1.5,rank-list,541.8880
wartmann,86.82,48.64,15.91,2471.1405,1.5,1.5,rank-list,543.0027
wartmann,85.91,,,2479.2924,1.6,1.6,rank-list,543.0382
wartmann,85.91,48.18,,2490.7684,1.6,1.6,rank-list,540.6775
wartmann,85.91,48.18,16.82,2520.1885,1.6,1.6,rank-list,542.5767
wartmann,86.36,,,2584.0208,1.7,1.7,rank-list,565.0688
wartmann,86.36,48.64,,2644.9761,1.7,1.7,rank-list,563.4006
wartmann,86.36,48.64,16.36,2710.3007,1.7,1.7,rank-list,580.3518
wartmann,86.36,,,2784.4101,1.8,1.8,rank-list,612.9056
wartmann,86.36,48.18,,2800.2512,1.8,1.8,rank-list,612.5292
wartmann,86.36,48.18,16.36,2797.3604,1.8,1.8,rank-list,620.4372
wartmann,85.45,,,2792.0796,1.9,1.9,rank-list,632.7219
wartmann,85.45,47.73,,2794.8454,1.9,1.9,rank-list,634.7614
wartmann,85.45,47.73,16.82,2802.6049,1.9,1.9,rank-list,635.5000
wartmann,85.00,,,2686.6560,2.0,2.0,rank-list,606.8742
wartmann,85.00,45.45,,2693.7233,2.0,2.0,rank-list,608.6087
wartmann,85.00,45.45,17.27,2706.0808,2.0,2.0,rank-list,613.2119
wartmann,84.55,,,2793.4723,2.1,2.1,rank-list,610.6598
wartmann,84.55,45.00,,2807.5284,2.1,2.1,rank-list,625.4899
wartmann,84.55,45.00,17.27,2815.5265,2.1,2.1,rank-list,631.9304
wartmann,84.09,,,2799.9630,2.2,2.2,rank-list,611.5574
wartmann,84.09,45.45,,2795.2979,2.2,2.2,rank-list,610.9522
wartmann,84.09,45.45,17.27,2812.4104,2.2,2.2,rank-list,613.5258
wartmann,83.64,,,2570.1728,2.3,2.3,rank-list,613.7867
wartmann,83.64,45.45,,2545.6139,2.3,2.3,rank-list,577.9876
wartmann,83.64,45.45,16.82,2622.2564,2.3,2.3,rank-list,568.3960
wartmann,82.73,,,2870.1972,2.4,2.4,rank-list,630.8335
wartmann,82.73,44.55,,2863.5602,2.4,2.4,rank-list,625.0688
wartmann,82.73,44.55,17.27,2853.9522,2.4,2.4,rank-list,622.4425
wartmann,81.82,,,2860.5776,2.5,2.5,rank-list,617.3317
wartmann,81.82,45.45,,2754.1378,2.5,2.5,rank-list,617.2771
wartmann,81.82,45.45,17.27,2708.0666,2.5,2.5,rank-list,602.4853
wartmann,80.45,,,2730.6603,2.6,2.6,rank-list,570.9135
wartmann,80.45,43.64,,2745.9767,2.6,2.6,rank-list,582.5173
wartmann,80.45,43.64,16.82,2741.5486,2.6,2.6,rank-list,585.4088
wartmann,79.55,,,2766.1257,2.7,2.7,rank-list,592.0844
wartmann,79.55,42.27,,2764.4155,2.7,2.7,rank-list,597.0376
wartmann,79.55,42.27,16.36,2764.3005,2.7,2.7,rank-list,597.2591
wartmann,79.55,,,2757.4931,2.8,2.8,rank-list,596.3351
wartmann,79.55,42.27,,2745.6463,2.8,2.8,rank-list,596.8688
wartmann,79.55,42.27,15.91,2747.1365,2.8,2.8,rank-list,596.8948
wartmann,77.73,,,2780.4548,2.9,2.9,rank-list,594.7487
wartmann,77.73,40.45,,2783.7260,2.9,2.9,rank-list,596.6852
wartmann,77.73,40.45,15.91,2777.8800,2.9,2.9,rank-list,594.0315
wartmann,77.73,,,2755.1065,3.0,3.0,rank-list,602.8626
wartmann,77.73,39.55,,2754.3596,3.0,3.0,rank-list,599.6380
wartmann,77.73,39.55,15.91,2789.9280,3.0,3.0,rank-list,599.4262
wartmann,70.00,,,2418.8115,4.0,4.0,rank-list,538.7315
wartmann,70.00,37.27,,2419.5293,4.0,4.0,rank-list,533.7341
wartmann,70.00,37.27,13.64,2437.5704,4.0,4.0,rank-list,534.5367
wartmann,67.73,,,2470.0697,5.0,5.0,rank-list,537.1109
wartmann,67.73,34.55,,2486.5946,5.0,5.0,rank-list,540.8596
wartmann,67.73,34.55,12.73,2491.4515,5.0,5.0,rank-list,542.4736
wartmann,64.55,,,2502.8379,6.0,6.0,rank-list,553.0396
wartmann,64.55,33.64,,2564.2341,6.0,6.0,rank-list,563.0835
wartmann,64.55,33.64,13.64,2600.0816,6.0,6.0,rank-list,578.0673
wartmann,60.45,,,2722.1285,7.0,7.0,rank-list,573.7707
wartmann,60.45,31.36,,2741.6687,7.0,7.0,rank-list,584.9858
wartmann,60.45,31.36,13.64,2743.7485,7.0,7.0,rank-list,593.1917
wartmann,60.00,,,2759.9140,8.0,8.0,rank-list,606.3458
wartmann,60.00,30.00,,2769.7478,8.0,8.0,rank-list,608.4783
wartmann,60.00,30.00,14.09,2767.1264,8.0,8.0,rank-list,611.0680
