comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,86.36,,,1.1,1.1,rank-list
wartmann,86.36,50.91,,1.1,1.1,rank-list
wartmann,86.36,50.91,15.45,1.1,1.1,rank-list
wartmann,86.82,,,1.2,1.2,rank-list
wartmann,86.82,49.55,,1.2,1.2,rank-list
wartmann,86.82,49.55,15.45,1.2,1.2,rank-list
wartmann,86.82,,,1.3,1.3,rank-list
wartmann,86.82,49.09,,1.3,1.3,rank-list
wartmann,86.82,49.09,15,1.3,1.3,rank-list
wartmann,87.27,,,1.4,1.4,rank-list
wartmann,87.27,47.73,,1.4,1.4,rank-list
wartmann,87.27,47.73,15.91,1.4,1.4,rank-list
wartmann,86.82,,,1.5,1.5,rank-list
wartmann,86.82,48.64,,1.5,1.5,rank-list
wartmann,86.82,48.64,15.91,1.5,1.5,rank-list
wartmann,85.91,,,1.6,1.6,rank-list
wartmann,85.91,48.18,,1.6,1.6,rank-list
wartmann,85.91,48.18,16.82,1.6,1.6,rank-list
wartmann,86.36,,,1.7,1.7,rank-list
wartmann,86.36,48.64,,1.7,1.7,rank-list
wartmann,86.36,48.64,16.36,1.7,1.7,rank-list
wartmann,86.36,,,1.8,1.8,rank-list
wartmann,86.36,48.18,,1.8,1.8,rank-list
wartmann,86.36,48.18,16.36,1.8,1.8,rank-list
wartmann,85.45,,,1.9,1.9,rank-list
wartmann,85.45,47.73,,1.9,1.9,rank-list
wartmann,85.45,47.73,16.82,1.9,1.9,rank-list
wartmann,85,,,2,2,rank-list
wartmann,85,45.45,,2,2,rank-list
wartmann,85,45.45,17.27,2,2,rank-list
wartmann,84.55,,,2.1,2.1,rank-list
wartmann,84.55,45,,2.1,2.1,rank-list
wartmann,84.55,45,17.27,2.1,2.1,rank-list
