comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,87.73,,,1.25,1.5,rank-list
wartmann,87.73,48.64,,1.25,1.5,rank-list
wartmann,87.73,48.64,15,1.25,1.5,rank-list
wartmann,88.18,,,1.25,1.75,rank-list
wartmann,88.18,48.18,,1.25,1.75,rank-list
wartmann,88.18,48.18,15.45,1.25,1.75,rank-list
wartmann,88.18,,,1.25,2,rank-list
wartmann,88.18,49.09,,1.25,2,rank-list
wartmann,88.18,49.09,15.91,1.25,2,rank-list
wartmann,87.73,,,1.25,2.25,rank-list
wartmann,87.73,49.55,,1.25,2.25,rank-list
wartmann,87.73,49.55,16.36,1.25,2.25,rank-list
wartmann,87.27,,,1.25,2.5,rank-list
wartmann,87.27,50.45,,1.25,2.5,rank-list
wartmann,87.27,50.45,15.91,1.25,2.5,rank-list
wartmann,86.36,,,1.25,2.75,rank-list
wartmann,86.36,50,,1.25,2.75,rank-list
wartmann,86.36,50,16.82,1.25,2.75,rank-list
wartmann,85.45,,,1.25,3,rank-list
wartmann,85.45,50.45,,1.25,3,rank-list
wartmann,85.45,50.45,16.82,1.25,3,rank-list
wartmann,86.36,,,1.5,1.25,rank-list
wartmann,86.36,47.73,,1.5,1.25,rank-list
wartmann,86.36,47.73,16.36,1.5,1.25,rank-list
wartmann,86.36,,,1.5,1.75,rank-list
wartmann,86.36,47.73,,1.5,1.75,rank-list
wartmann,86.36,47.73,16.82,1.5,1.75,rank-list
wartmann,86.82,,,1.5,2,rank-list
wartmann,86.82,49.09,,1.5,2,rank-list
wartmann,86.82,49.09,16.36,1.5,2,rank-list
wartmann,85.91,,,1.5,2.25,rank-list
wartmann,85.91,48.18,,1.5,2.25,rank-list
wartmann,85.91,48.18,17.27,1.5,2.25,rank-list
wartmann,85.91,,,1.5,2.5,rank-list
wartmann,85.91,48.18,,1.5,2.5,rank-list
wartmann,85.91,48.18,17.27,1.5,2.5,rank-list
wartmann,85.45,,,1.5,2.75,rank-list
wartmann,85.45,49.55,,1.5,2.75,rank-list
wartmann,85.45,49.55,17.73,1.5,2.75,rank-list
wartmann,85.45,,,1.5,3,rank-list
wartmann,85.45,50,,1.5,3,rank-list
wartmann,85.45,50,17.73,1.5,3,rank-list
wartmann,85.45,,,1.75,1.25,rank-list
wartmann,85.45,48.18,,1.75,1.25,rank-list
wartmann,85.45,48.18,17.27,1.75,1.25,rank-list
wartmann,85.91,,,1.75,1.5,rank-list
wartmann,85.91,48.18,,1.75,1.5,rank-list
wartmann,85.91,48.18,15.91,1.75,1.5,rank-list
wartmann,85.45,,,1.75,2,rank-list
wartmann,85.45,47.73,,1.75,2,rank-list
wartmann,85.45,47.73,17.27,1.75,2,rank-list
wartmann,85.45,,,1.75,2.25,rank-list
wartmann,85.45,47.73,,1.75,2.25,rank-list
wartmann,85.45,47.73,18.18,1.75,2.25,rank-list
wartmann,85.45,,,1.75,2.5,rank-list
wartmann,85.45,47.73,,1.75,2.5,rank-list
wartmann,85.45,47.73,18.18,1.75,2.5,rank-list
wartmann,85.45,,,1.75,2.75,rank-list
wartmann,85.45,48.18,,1.75,2.75,rank-list
wartmann,85.45,48.18,17.73,1.75,2.75,rank-list
wartmann,84.55,,,1.75,3,rank-list
wartmann,84.55,48.18,,1.75,3,rank-list
wartmann,84.55,48.18,17.73,1.75,3,rank-list
wartmann,85.45,,,2,1.25,rank-list
wartmann,85.45,46.82,,2,1.25,rank-list
wartmann,85.45,46.82,16.82,2,1.25,rank-list
wartmann,85.91,,,2,1.5,rank-list
wartmann,85.91,46.82,,2,1.5,rank-list
wartmann,85.91,46.82,16.36,2,1.5,rank-list
wartmann,85.45,,,2,1.75,rank-list
wartmann,85.45,47.27,,2,1.75,rank-list
wartmann,85.45,47.27,16.82,2,1.75,rank-list
wartmann,85.45,,,2,2.25,rank-list
wartmann,85.45,45.45,,2,2.25,rank-list
wartmann,85.45,45.45,17.73,2,2.25,rank-list
wartmann,84.55,,,2,2.5,rank-list
wartmann,84.55,45.91,,2,2.5,rank-list
wartmann,84.55,45.91,17.73,2,2.5,rank-list
wartmann,84.09,,,2,2.75,rank-list
wartmann,84.09,46.36,,2,2.75,rank-list
wartmann,84.09,46.36,18.18,2,2.75,rank-list
wartmann,83.64,,,2,3,rank-list
wartmann,83.64,45.91,,2,3,rank-list
wartmann,83.64,45.91,18.18,2,3,rank-list
wartmann,84.55,,,2.25,1.25,rank-list
wartmann,84.55,45,,2.25,1.25,rank-list
wartmann,84.55,45,16.82,2.25,1.25,rank-list
wartmann,85.45,,,2.25,1.5,rank-list
wartmann,85.45,45.45,,2.25,1.5,rank-list
wartmann,85.45,45.45,16.36,2.25,1.5,rank-list
wartmann,84.55,,,2.25,1.75,rank-list
wartmann,84.55,45.45,,2.25,1.75,rank-list
wartmann,84.55,45.45,17.27,2.25,1.75,rank-list
wartmann,83.18,,,2.25,2,rank-list
wartmann,83.18,45,,2.25,2,rank-list
wartmann,83.18,45,17.27,2.25,2,rank-list
wartmann,83.64,,,2.25,2.5,rank-list
wartmann,83.64,45.45,,2.25,2.5,rank-list
wartmann,83.64,45.45,17.73,2.25,2.5,rank-list
wartmann,82.27,,,2.25,2.75,rank-list
wartmann,82.27,45,,2.25,2.75,rank-list
wartmann,82.27,45,17.73,2.25,2.75,rank-list
wartmann,81.82,,,2.25,3,rank-list
wartmann,81.82,44.55,,2.25,3,rank-list
wartmann,81.82,44.55,17.73,2.25,3,rank-list
wartmann,83.18,,,2.5,1.25,rank-list
wartmann,83.18,43.64,,2.5,1.25,rank-list
wartmann,83.18,43.64,16.82,2.5,1.25,rank-list
wartmann,83.18,,,2.5,1.5,rank-list
wartmann,83.18,44.55,,2.5,1.5,rank-list
wartmann,83.18,44.55,17.27,2.5,1.5,rank-list
wartmann,81.82,,,2.5,1.75,rank-list
wartmann,81.82,44.55,,2.5,1.75,rank-list
wartmann,81.82,44.55,16.82,2.5,1.75,rank-list
wartmann,81.82,,,2.5,2,rank-list
wartmann,81.82,44.55,,2.5,2,rank-list
wartmann,81.82,44.55,16.82,2.5,2,rank-list
wartmann,82.27,,,2.5,2.25,rank-list
wartmann,82.27,45,,2.5,2.25,rank-list
wartmann,82.27,45,16.82,2.5,2.25,rank-list
wartmann,81.82,,,2.5,2.75,rank-list
wartmann,81.82,43.64,,2.5,2.75,rank-list
wartmann,81.82,43.64,17.27,2.5,2.75,rank-list
wartmann,80.91,,,2.5,3,rank-list
wartmann,80.91,44.09,,2.5,3,rank-list
wartmann,80.91,44.09,17.27,2.5,3,rank-list
wartmann,81.82,,,2.75,1.25,rank-list
wartmann,81.82,43.64,,2.75,1.25,rank-list
wartmann,81.82,43.64,16.82,2.75,1.25,rank-list
wartmann,81.36,,,2.75,1.5,rank-list
wartmann,81.36,43.18,,2.75,1.5,rank-list
wartmann,81.36,43.18,17.27,2.75,1.5,rank-list
wartmann,80.91,,,2.75,1.75,rank-list
wartmann,80.91,44.09,,2.75,1.75,rank-list
wartmann,80.91,44.09,17.27,2.75,1.75,rank-list
wartmann,81.36,,,2.75,2,rank-list
wartmann,81.36,43.64,,2.75,2,rank-list
wartmann,81.36,43.64,16.82,2.75,2,rank-list
wartmann,80.91,,,2.75,2.25,rank-list
wartmann,80.91,42.27,,2.75,2.25,rank-list
wartmann,80.91,42.27,16.36,2.75,2.25,rank-list
wartmann,79.09,,,2.75,2.5,rank-list
wartmann,79.09,43.18,,2.75,2.5,rank-list
wartmann,79.09,43.18,15.91,2.75,2.5,rank-list
wartmann,79.55,,,2.75,3,rank-list
wartmann,79.55,42.27,,2.75,3,rank-list
wartmann,79.55,42.27,15.91,2.75,3,rank-list
wartmann,80.45,,,3,1.25,rank-list
wartmann,80.45,42.27,,3,1.25,rank-list
wartmann,80.45,42.27,17.27,3,1.25,rank-list
wartmann,80.91,,,3,1.5,rank-list
wartmann,80.91,41.82,,3,1.5,rank-list
wartmann,80.91,41.82,17.27,3,1.5,rank-list
wartmann,80,,,3,1.75,rank-list
wartmann,80,41.36,,3,1.75,rank-list
wartmann,80,41.36,16.82,3,1.75,rank-list
wartmann,79.09,,,3,2,rank-list
wartmann,79.09,41.36,,3,2,rank-list
wartmann,79.09,41.36,15.91,3,2,rank-list
wartmann,78.18,,,3,2.25,rank-list
wartmann,78.18,40.45,,3,2.25,rank-list
wartmann,78.18,40.45,15.91,3,2.25,rank-list
wartmann,77.27,,,3,2.5,rank-list
wartmann,77.27,40.91,,3,2.5,rank-list
wartmann,77.27,40.91,15.45,3,2.5,rank-list
wartmann,77.73,,,3,2.75,rank-list
wartmann,77.73,40,,3,2.75,rank-list
wartmann,77.73,40,15.91,3,2.75,rank-list
