comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
minkowski,55,,,0.01,omitted
minkowski,55,25,,0.01,omitted
minkowski,55,25,1.82,0.01,omitted
minkowski,59.09,,,0.1,omitted
minkowski,59.09,27.73,,0.1,omitted
minkowski,59.09,27.73,1.82,0.1,omitted
minkowski,63.18,,,0.2,omitted
minkowski,63.18,29.55,,0.2,omitted
minkowski,63.18,29.55,1.82,0.2,omitted
minkowski,67.73,,,0.3,omitted
minkowski,67.73,30.91,,0.3,omitted
minkowski,67.73,30.91,0.91,0.3,omitted
minkowski,70.45,,,0.4,omitted
minkowski,70.45,31.82,,0.4,omitted
minkowski,70.45,31.82,1.36,0.4,omitted
minkowski,72.27,,,0.5,omitted
minkowski,72.27,32.73,,0.5,omitted
minkowski,72.27,32.73,2.73,0.5,omitted
minkowski,73.18,,,0.6,omitted
minkowski,73.18,35.45,,0.6,omitted
minkowski,73.18,35.45,2.73,0.6,omitted
minkowski,74.55,,,0.7,omitted
minkowski,74.55,36.36,,0.7,omitted
minkowski,74.55,36.36,3.18,0.7,omitted
minkowski,75,,,0.8,omitted
minkowski,75,38.18,,0.8,omitted
minkowski,75,38.18,4.55,0.8,omitted
minkowski,77.73,,,0.9,omitted
minkowski,77.73,39.09,,0.9,omitted
minkowski,77.73,39.09,5.45,0.9,omitted
minkowski,78.18,,,1,omitted
minkowski,78.18,40,,1,omitted
minkowski,78.18,40,6.36,1,omitted
minkowski,78.64,,,1.1,omitted
minkowski,78.64,40.91,,1.1,omitted
minkowski,78.64,40.91,8.18,1.1,omitted
minkowski,78.64,,,1.2,omitted
minkowski,78.64,42.27,,1.2,omitted
minkowski,78.64,42.27,8.64,1.2,omitted
minkowski,79.55,,,1.3,omitted
minkowski,79.55,42.73,,1.3,omitted
minkowski,79.55,42.73,8.64,1.3,omitted
minkowski,81.36,,,1.4,omitted
minkowski,81.36,44.09,,1.4,omitted
minkowski,81.36,44.09,9.55,1.4,omitted
minkowski,81.82,,,1.5,omitted
minkowski,81.82,44.55,,1.5,omitted
minkowski,81.82,44.55,10.45,1.5,omitted
minkowski,81.82,,,1.6,omitted
minkowski,81.82,45,,1.6,omitted
minkowski,81.82,45,10.91,1.6,omitted
minkowski,82.27,,,1.7,omitted
minkowski,82.27,45,,1.7,omitted
minkowski,82.27,45,11.82,1.7,omitted
minkowski,82.27,,,1.8,omitted
minkowski,82.27,45.45,,1.8,omitted
minkowski,82.27,45.45,12.73,1.8,omitted
minkowski,82.27,,,1.9,omitted
minkowski,82.27,45.45,,1.9,omitted
minkowski,82.27,45.45,13.64,1.9,omitted
minkowski,83.18,,,2,omitted
minkowski,83.18,46.36,,2,omitted
minkowski,83.18,46.36,13.64,2,omitted
minkowski,83.18,,,2.1,omitted
minkowski,83.18,46.36,,2.1,omitted
minkowski,83.18,46.36,14.09,2.1,omitted
minkowski,83.18,,,2.2,omitted
minkowski,83.18,47.27,,2.2,omitted
minkowski,83.18,47.27,13.64,2.2,omitted
minkowski,83.18,,,2.3,omitted
minkowski,83.18,46.82,,2.3,omitted
minkowski,83.18,46.82,13.18,2.3,omitted
minkowski,83.64,,,2.4,omitted
minkowski,83.64,46.82,,2.4,omitted
minkowski,83.64,46.82,13.18,2.4,omitted
minkowski,83.64,,,2.5,omitted
minkowski,83.64,47.27,,2.5,omitted
minkowski,83.64,47.27,13.64,2.5,omitted
minkowski,83.64,,,2.6,omitted
minkowski,83.64,47.27,,2.6,omitted
minkowski,83.64,47.27,15,2.6,omitted
minkowski,83.18,,,2.7,omitted
minkowski,83.18,47.27,,2.7,omitted
minkowski,83.18,47.27,15,2.7,omitted
minkowski,83.64,,,2.8,omitted
minkowski,83.64,47.27,,2.8,omitted
minkowski,83.64,47.27,14.55,2.8,omitted
minkowski,83.64,,,2.9,omitted
minkowski,83.64,47.27,,2.9,omitted
minkowski,83.64,47.27,14.55,2.9,omitted
minkowski,83.64,,,3,omitted
minkowski,83.64,46.82,,3,omitted
minkowski,83.64,46.82,14.55,3,omitted
minkowski,83.64,,,3.1,omitted
minkowski,83.64,46.82,,3.1,omitted
minkowski,83.64,46.82,14.55,3.1,omitted
minkowski,83.18,,,3.2,omitted
minkowski,83.18,46.82,,3.2,omitted
minkowski,83.18,46.82,14.55,3.2,omitted
minkowski,83.18,,,3.3,omitted
minkowski,83.18,47.27,,3.3,omitted
minkowski,83.18,47.27,14.09,3.3,omitted
minkowski,83.18,,,3.4,omitted
minkowski,83.18,46.36,,3.4,omitted
minkowski,83.18,46.36,14.09,3.4,omitted
minkowski,83.18,,,3.5,omitted
minkowski,83.18,46.36,,3.5,omitted
minkowski,83.18,46.36,14.09,3.5,omitted
minkowski,83.18,,,3.6,omitted
minkowski,83.18,46.36,,3.6,omitted
minkowski,83.18,46.36,14.55,3.6,omitted
minkowski,82.27,,,3.7,omitted
minkowski,82.27,45.45,,3.7,omitted
minkowski,82.27,45.45,15.45,3.7,omitted
minkowski,81.82,,,3.8,omitted
minkowski,81.82,44.55,,3.8,omitted
minkowski,81.82,44.55,15.91,3.8,omitted
minkowski,81.82,,,3.9,omitted
minkowski,81.82,44.55,,3.9,omitted
minkowski,81.82,44.55,16.36,3.9,omitted
minkowski,81.36,,,4,omitted
minkowski,81.36,45.45,,4,omitted
minkowski,81.36,45.45,16.36,4,omitted
minkowski,81.36,,,4.1,omitted
minkowski,81.36,44.09,,4.1,omitted
minkowski,81.36,44.09,16.36,4.1,omitted
minkowski,81.36,,,4.2,omitted
minkowski,81.36,43.64,,4.2,omitted
minkowski,81.36,43.64,16.36,4.2,omitted
minkowski,80,,,4.3,omitted
minkowski,80,42.73,,4.3,omitted
minkowski,80,42.73,16.36,4.3,omitted
minkowski,80,,,4.4,omitted
minkowski,80,43.18,,4.4,omitted
minkowski,80,43.18,16.36,4.4,omitted
minkowski,79.55,,,4.5,omitted
minkowski,79.55,42.73,,4.5,omitted
minkowski,79.55,42.73,15.91,4.5,omitted
minkowski,79.55,,,4.6,omitted
minkowski,79.55,42.27,,4.6,omitted
minkowski,79.55,42.27,15.91,4.6,omitted
minkowski,79.55,,,4.7,omitted
minkowski,79.55,42.27,,4.7,omitted
minkowski,79.55,42.27,15.91,4.7,omitted
minkowski,80,,,4.8,omitted
minkowski,80,41.82,,4.8,omitted
minkowski,80,41.82,15.45,4.8,omitted
minkowski,78.64,,,4.9,omitted
minkowski,78.64,42.73,,4.9,omitted
minkowski,78.64,42.73,15.45,4.9,omitted
minkowski,78.18,,,5,omitted
minkowski,78.18,42.27,,5,omitted
minkowski,78.18,42.27,15,5,omitted
