comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
minkowski,75,,,0.01,standardize
minkowski,75,43.64,,0.01,standardize
minkowski,75,43.64,12.73,0.01,standardize
minkowski,80.91,,,0.1,standardize
minkowski,80.91,49.09,,0.1,standardize
minkowski,80.91,49.09,14.09,0.1,standardize
minkowski,86.36,,,0.2,standardize
minkowski,86.36,52.73,,0.2,standardize
minkowski,86.36,52.73,16.36,0.2,standardize
minkowski,88.18,,,0.3,standardize
minkowski,88.18,54.55,,0.3,standardize
minkowski,88.18,54.55,16.82,0.3,standardize
minkowski,90,,,0.4,standardize
minkowski,90,56.82,,0.4,standardize
minkowski,90,56.82,19.09,0.4,standardize
minkowski,92.27,,,0.5,standardize
minkowski,92.27,59.09,,0.5,standardize
minkowski,92.27,59.09,22.27,0.5,standardize
minkowski,93.18,,,0.6,standardize
minkowski,93.18,62.73,,0.6,standardize
minkowski,93.18,62.73,22.27,0.6,standardize
minkowski,95.91,,,0.7,standardize
minkowski,95.91,64.55,,0.7,standardize
minkowski,95.91,64.55,22.27,0.7,standardize
minkowski,95.91,,,0.8,standardize
minkowski,95.91,66.36,,0.8,standardize
minkowski,95.91,66.36,22.73,0.8,standardize
minkowski,95.91,,,0.9,standardize
minkowski,95.91,67.73,,0.9,standardize
minkowski,95.91,67.73,24.55,0.9,standardize
minkowski,97.27,,,1,standardize
minkowski,97.27,68.64,,1,standardize
minkowski,97.27,68.64,25.45,1,standardize
minkowski,97.27,,,1.1,standardize
minkowski,97.27,70,,1.1,standardize
minkowski,97.27,70,24.55,1.1,standardize
minkowski,97.27,,,1.2,standardize
minkowski,97.27,70.45,,1.2,standardize
minkowski,97.27,70.45,25.45,1.2,standardize
minkowski,97.27,,,1.3,standardize
minkowski,97.27,70.45,,1.3,standardize
minkowski,97.27,70.45,26.82,1.3,standardize
minkowski,97.27,,,1.4,standardize
minkowski,97.27,70.91,,1.4,standardize
