comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
minkowski,76.82,,,0.01,subtract_mean
minkowski,76.82,39.55,,0.01,subtract_mean
minkowski,76.82,39.55,11.36,0.01,subtract_mean
minkowski,80,,,0.1,subtract_mean
minkowski,80,44.09,,0.1,subtract_mean
minkowski,80,44.09,14.09,0.1,subtract_mean
minkowski,83.64,,,0.2,subtract_mean
minkowski,83.64,52.27,,0.2,subtract_mean
minkowski,83.64,52.27,16.36,0.2,subtract_mean
minkowski,86.36,,,0.3,subtract_mean
minkowski,86.36,55,,0.3,subtract_mean
minkowski,86.36,55,16.82,0.3,subtract_mean
minkowski,88.18,,,0.4,subtract_mean
minkowski,88.18,59.55,,0.4,subtract_mean
minkowski,88.18,59.55,17.27,0.4,subtract_mean
minkowski,89.09,,,0.5,subtract_mean
minkowski,89.09,62.73,,0.5,subtract_mean
minkowski,89.09,62.73,18.18,0.5,subtract_mean
minkowski,90.91,,,0.6,subtract_mean
minkowski,90.91,64.09,,0.6,subtract_mean
minkowski,90.91,64.09,21.82,0.6,subtract_mean
minkowski,91.82,,,0.7,subtract_mean
minkowski,91.82,65.45,,0.7,subtract_mean
minkowski,91.82,65.45,23.18,0.7,subtract_mean
minkowski,92.27,,,0.8,subtract_mean
minkowski,92.27,66.82,,0.8,subtract_mean
minkowski,92.27,66.82,24.55,0.8,subtract_mean
minkowski,93.18,,,0.9,subtract_mean
minkowski,93.18,66.82,,0.9,subtract_mean
minkowski,93.18,66.82,26.36,0.9,subtract_mean
minkowski,93.18,,,1,subtract_mean
minkowski,93.18,67.27,,1,subtract_mean
minkowski,93.18,67.27,27.27,1,subtract_mean
minkowski,94.09,,,1.1,subtract_mean
minkowski,94.09,68.18,,1.1,subtract_mean
minkowski,94.09,68.18,28.18,1.1,subtract_mean
minkowski,94.55,,,1.2,subtract_mean
minkowski,94.55,69.09,,1.2,subtract_mean
minkowski,94.55,69.09,28.64,1.2,subtract_mean
minkowski,94.55,,,1.3,subtract_mean
minkowski,94.55,69.55,,1.3,subtract_mean
minkowski,94.55,69.55,28.18,1.3,subtract_mean
minkowski,95,,,1.4,subtract_mean
minkowski,95,70,,1.4,subtract_mean
minkowski,95,70,29.09,1.4,subtract_mean
minkowski,94.55,,,1.5,subtract_mean
minkowski,94.55,69.55,,1.5,subtract_mean
minkowski,94.55,69.55,28.64,1.5,subtract_mean
minkowski,94.55,,,1.6,subtract_mean
minkowski,94.55,70,,1.6,subtract_mean
minkowski,94.55,70,27.27,1.6,subtract_mean
minkowski,94.55,,,1.7,subtract_mean
minkowski,94.55,70.91,,1.7,subtract_mean
minkowski,94.55,70.91,28.18,1.7,subtract_mean
minkowski,94.55,,,1.8,subtract_mean
minkowski,94.55,71.36,,1.8,subtract_mean
minkowski,94.55,71.36,27.73,1.8,subtract_mean
minkowski,95,,,1.9,subtract_mean
minkowski,95,71.82,,1.9,subtract_mean
minkowski,95,71.82,26.82,1.9,subtract_mean
minkowski,94.55,,,2,subtract_mean
minkowski,94.55,71.82,,2,subtract_mean
minkowski,94.55,71.82,26.36,2,subtract_mean
minkowski,94.55,,,2.1,subtract_mean
minkowski,94.55,70.45,,2.1,subtract_mean
minkowski,94.55,70.45,25.91,2.1,subtract_mean
minkowski,94.55,,,2.2,subtract_mean
minkowski,94.55,70,,2.2,subtract_mean
minkowski,94.55,70,26.36,2.2,subtract_mean
minkowski,94.55,,,2.3,subtract_mean
minkowski,94.55,70.45,,2.3,subtract_mean
minkowski,94.55,70.45,25.91,2.3,subtract_mean
minkowski,94.55,,,2.4,subtract_mean
minkowski,94.55,70.45,,2.4,subtract_mean
minkowski,94.55,70.45,26.36,2.4,subtract_mean
minkowski,94.55,,,2.5,subtract_mean
minkowski,94.55,70,,2.5,subtract_mean
minkowski,94.55,70,26.36,2.5,subtract_mean
minkowski,94.09,,,2.6,subtract_mean
minkowski,94.09,69.55,,2.6,subtract_mean
minkowski,94.09,69.55,26.82,2.6,subtract_mean
minkowski,94.09,,,2.7,subtract_mean
minkowski,94.09,69.09,,2.7,subtract_mean
minkowski,94.09,69.09,26.82,2.7,subtract_mean
minkowski,94.09,,,2.8,subtract_mean
minkowski,94.09,68.64,,2.8,subtract_mean
minkowski,94.09,68.64,26.82,2.8,subtract_mean
minkowski,94.09,,,2.9,subtract_mean
minkowski,94.09,66.36,,2.9,subtract_mean
minkowski,94.09,66.36,26.82,2.9,subtract_mean
minkowski,94.09,,,3,subtract_mean
minkowski,94.09,65.45,,3,subtract_mean
minkowski,94.09,65.45,26.36,3,subtract_mean
minkowski,93.64,,,3.1,subtract_mean
minkowski,93.64,65.45,,3.1,subtract_mean
minkowski,93.64,65.45,26.36,3.1,subtract_mean
minkowski,93.64,,,3.2,subtract_mean
minkowski,93.64,65,,3.2,subtract_mean
minkowski,93.64,65,26.36,3.2,subtract_mean
minkowski,93.64,,,3.3,subtract_mean
minkowski,93.64,64.55,,3.3,subtract_mean
minkowski,93.64,64.55,25.91,3.3,subtract_mean
minkowski,93.18,,,3.4,subtract_mean
minkowski,93.18,64.55,,3.4,subtract_mean
minkowski,93.18,64.55,26.36,3.4,subtract_mean
minkowski,92.73,,,3.5,subtract_mean
minkowski,92.73,63.64,,3.5,subtract_mean
minkowski,92.73,63.64,24.55,3.5,subtract_mean
minkowski,92.27,,,3.6,subtract_mean
minkowski,92.27,62.73,,3.6,subtract_mean
minkowski,92.27,62.73,23.64,3.6,subtract_mean
minkowski,91.82,,,3.7,subtract_mean
minkowski,91.82,62.73,,3.7,subtract_mean
minkowski,91.82,62.73,23.64,3.7,subtract_mean
minkowski,90.91,,,3.8,subtract_mean
minkowski,90.91,62.27,,3.8,subtract_mean
minkowski,90.91,62.27,23.64,3.8,subtract_mean
minkowski,90.91,,,3.9,subtract_mean
minkowski,90.91,62.27,,3.9,subtract_mean
minkowski,90.91,62.27,23.64,3.9,subtract_mean
minkowski,90.91,,,4,subtract_mean
minkowski,90.91,62.27,,4,subtract_mean
minkowski,90.91,62.27,23.18,4,subtract_mean
minkowski,90.91,,,4.1,subtract_mean
minkowski,90.91,61.82,,4.1,subtract_mean
minkowski,90.91,61.82,23.18,4.1,subtract_mean
minkowski,90,,,4.2,subtract_mean
minkowski,90,61.36,,4.2,subtract_mean
minkowski,90,61.36,23.64,4.2,subtract_mean
minkowski,90,,,4.3,subtract_mean
minkowski,90,60.91,,4.3,subtract_mean
minkowski,90,60.91,23.64,4.3,subtract_mean
minkowski,90,,,4.4,subtract_mean
minkowski,90,60.45,,4.4,subtract_mean
minkowski,90,60.45,23.64,4.4,subtract_mean
minkowski,90,,,4.5,subtract_mean
minkowski,90,59.55,,4.5,subtract_mean
minkowski,90,59.55,23.18,4.5,subtract_mean
minkowski,89.55,,,4.6,subtract_mean
minkowski,89.55,59.55,,4.6,subtract_mean
minkowski,89.55,59.55,23.18,4.6,subtract_mean
minkowski,88.64,,,4.7,subtract_mean
minkowski,88.64,58.18,,4.7,subtract_mean
minkowski,88.64,58.18,22.27,4.7,subtract_mean
minkowski,88.64,,,4.8,subtract_mean
minkowski,88.64,56.82,,4.8,subtract_mean
minkowski,88.64,56.82,21.82,4.8,subtract_mean
minkowski,88.64,,,4.9,subtract_mean
minkowski,88.64,55.91,,4.9,subtract_mean
minkowski,88.64,55.91,21.82,4.9,subtract_mean
minkowski,87.73,,,5,subtract_mean
minkowski,87.73,55,,5,subtract_mean
minkowski,87.73,55,21.82,5,subtract_mean
