comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
minkowski,34.55,,,0.01,omitted
minkowski,34.55,16.36,,0.01,omitted
minkowski,34.55,16.36,2.73,0.01,omitted
minkowski,39.09,,,0.1,omitted
minkowski,39.09,16.36,,0.1,omitted
minkowski,39.09,16.36,2.27,0.1,omitted
minkowski,44.09,,,0.2,omitted
minkowski,44.09,18.64,,0.2,omitted
minkowski,44.09,18.64,2.27,0.2,omitted
minkowski,45.91,,,0.3,omitted
minkowski,45.91,20.45,,0.3,omitted
minkowski,45.91,20.45,2.73,0.3,omitted
minkowski,48.64,,,0.4,omitted
minkowski,48.64,20,,0.4,omitted
minkowski,48.64,20,3.18,0.4,omitted
minkowski,50.45,,,0.5,omitted
minkowski,50.45,20.91,,0.5,omitted
minkowski,50.45,20.91,3.64,0.5,omitted
minkowski,52.73,,,0.6,omitted
minkowski,52.73,21.36,,0.6,omitted
minkowski,52.73,21.36,3.64,0.6,omitted
minkowski,58.18,,,0.7,omitted
minkowski,58.18,21.82,,0.7,omitted
minkowski,58.18,21.82,4.09,0.7,omitted
minkowski,59.55,,,0.8,omitted
minkowski,59.55,23.64,,0.8,omitted
minkowski,59.55,23.64,4.09,0.8,omitted
minkowski,60.91,,,0.9,omitted
minkowski,60.91,25,,0.9,omitted
minkowski,60.91,25,5.91,0.9,omitted
minkowski,63.18,,,1,omitted
minkowski,63.18,26.82,,1,omitted
minkowski,63.18,26.82,6.36,1,omitted
minkowski,64.09,,,1.1,omitted
minkowski,64.09,29.09,,1.1,omitted
minkowski,64.09,29.09,6.36,1.1,omitted
minkowski,65,,,1.2,omitted
minkowski,65,28.64,,1.2,omitted
minkowski,65,28.64,6.82,1.2,omitted
minkowski,65,,,1.3,omitted
minkowski,65,27.27,,1.3,omitted
minkowski,65,27.27,7.73,1.3,omitted
minkowski,66.36,,,1.4,omitted
minkowski,66.36,27.73,,1.4,omitted
minkowski,66.36,27.73,8.64,1.4,omitted
minkowski,66.36,,,1.5,omitted
minkowski,66.36,27.73,,1.5,omitted
minkowski,66.36,27.73,10.45,1.5,omitted
minkowski,66.82,,,1.6,omitted
minkowski,66.82,29.55,,1.6,omitted
minkowski,66.82,29.55,10,1.6,omitted
minkowski,65.91,,,1.7,omitted
minkowski,65.91,31.36,,1.7,omitted
minkowski,65.91,31.36,9.55,1.7,omitted
minkowski,66.82,,,1.8,omitted
minkowski,66.82,32.27,,1.8,omitted
minkowski,66.82,32.27,10.45,1.8,omitted
minkowski,67.27,,,1.9,omitted
minkowski,67.27,33.18,,1.9,omitted
minkowski,67.27,33.18,10.91,1.9,omitted
minkowski,67.73,,,2,omitted
minkowski,67.73,33.18,,2,omitted
minkowski,67.73,33.18,11.82,2,omitted
minkowski,68.18,,,2.1,omitted
minkowski,68.18,33.64,,2.1,omitted
minkowski,68.18,33.64,11.82,2.1,omitted
minkowski,69.55,,,2.2,omitted
minkowski,69.55,35,,2.2,omitted
minkowski,69.55,35,12.27,2.2,omitted
minkowski,69.55,,,2.3,omitted
minkowski,69.55,35.45,,2.3,omitted
minkowski,69.55,35.45,10.91,2.3,omitted
minkowski,69.55,,,2.4,omitted
minkowski,69.55,35,,2.4,omitted
minkowski,69.55,35,10.45,2.4,omitted
minkowski,69.55,,,2.5,omitted
minkowski,69.55,35,,2.5,omitted
minkowski,69.55,35,10.91,2.5,omitted
minkowski,69.09,,,2.6,omitted
minkowski,69.09,35,,2.6,omitted
minkowski,69.09,35,10.91,2.6,omitted
minkowski,68.64,,,2.7,omitted
minkowski,68.64,34.55,,2.7,omitted
minkowski,68.64,34.55,10.91,2.7,omitted
minkowski,68.18,,,2.8,omitted
minkowski,68.18,34.55,,2.8,omitted
minkowski,68.18,34.55,10.91,2.8,omitted
minkowski,67.73,,,2.9,omitted
minkowski,67.73,34.55,,2.9,omitted
minkowski,67.73,34.55,10.91,2.9,omitted
minkowski,67.73,,,3,omitted
minkowski,67.73,35.45,,3,omitted
minkowski,67.73,35.45,10.91,3,omitted
minkowski,67.27,,,3.1,omitted
minkowski,67.27,35.45,,3.1,omitted
minkowski,67.27,35.45,10.91,3.1,omitted
minkowski,67.27,,,3.2,omitted
minkowski,67.27,35,,3.2,omitted
minkowski,67.27,35,10.91,3.2,omitted
minkowski,67.27,,,3.3,omitted
minkowski,67.27,34.09,,3.3,omitted
minkowski,67.27,34.09,11.36,3.3,omitted
minkowski,66.82,,,3.4,omitted
minkowski,66.82,34.09,,3.4,omitted
minkowski,66.82,34.09,11.36,3.4,omitted
minkowski,65.91,,,3.5,omitted
minkowski,65.91,33.64,,3.5,omitted
minkowski,65.91,33.64,10.91,3.5,omitted
minkowski,65.45,,,3.6,omitted
minkowski,65.45,32.73,,3.6,omitted
minkowski,65.45,32.73,11.36,3.6,omitted
minkowski,65.45,,,3.7,omitted
minkowski,65.45,32.27,,3.7,omitted
minkowski,65.45,32.27,11.82,3.7,omitted
minkowski,65.45,,,3.8,omitted
minkowski,65.45,31.36,,3.8,omitted
minkowski,65.45,31.36,12.27,3.8,omitted
minkowski,64.55,,,3.9,omitted
minkowski,64.55,29.55,,3.9,omitted
minkowski,64.55,29.55,12.73,3.9,omitted
minkowski,64.55,,,4,omitted
minkowski,64.55,30,,4,omitted
minkowski,64.55,30,12.73,4,omitted
minkowski,65.45,,,4.1,omitted
minkowski,65.45,30,,4.1,omitted
minkowski,65.45,30,12.73,4.1,omitted
minkowski,65,,,4.2,omitted
minkowski,65,29.09,,4.2,omitted
minkowski,65,29.09,13.64,4.2,omitted
minkowski,64.55,,,4.3,omitted
minkowski,64.55,29.09,,4.3,omitted
minkowski,64.55,29.09,13.64,4.3,omitted
minkowski,63.64,,,4.4,omitted
minkowski,63.64,28.64,,4.4,omitted
minkowski,63.64,28.64,13.18,4.4,omitted
minkowski,63.18,,,4.5,omitted
minkowski,63.18,28.64,,4.5,omitted
minkowski,63.18,28.64,13.18,4.5,omitted
minkowski,62.73,,,4.6,omitted
minkowski,62.73,28.64,,4.6,omitted
minkowski,62.73,28.64,13.18,4.6,omitted
minkowski,62.73,,,4.7,omitted
minkowski,62.73,27.73,,4.7,omitted
minkowski,62.73,27.73,12.73,4.7,omitted
minkowski,62.27,,,4.8,omitted
minkowski,62.27,26.82,,4.8,omitted
minkowski,62.27,26.82,12.73,4.8,omitted
minkowski,61.82,,,4.9,omitted
minkowski,61.82,26.82,,4.9,omitted
minkowski,61.82,26.82,12.27,4.9,omitted
minkowski,61.36,,,5,omitted
minkowski,61.36,26.82,,5,omitted
minkowski,61.36,26.82,12.27,5,omitted
