comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
minkowski,45,,,0.01,standardize
minkowski,45,21.82,,0.01,standardize
minkowski,45,21.82,7.73,0.01,standardize
minkowski,54.09,,,0.1,standardize
minkowski,54.09,25.45,,0.1,standardize
minkowski,54.09,25.45,9.09,0.1,standardize
minkowski,62.27,,,0.2,standardize
minkowski,62.27,29.55,,0.2,standardize
minkowski,62.27,29.55,9.55,0.2,standardize
minkowski,65.91,,,0.3,standardize
minkowski,65.91,34.09,,0.3,standardize
minkowski,65.91,34.09,11.36,0.3,standardize
minkowski,68.64,,,0.4,standardize
minkowski,68.64,35,,0.4,standardize
minkowski,68.64,35,12.73,0.4,standardize
minkowski,69.55,,,0.5,standardize
minkowski,69.55,38.64,,0.5,standardize
minkowski,69.55,38.64,14.55,0.5,standardize
minkowski,73.64,,,0.6,standardize
minkowski,73.64,42.27,,0.6,standardize
minkowski,73.64,42.27,14.55,0.6,standardize
minkowski,75,,,0.7,standardize
minkowski,75,44.09,,0.7,standardize
minkowski,75,44.09,13.64,0.7,standardize
minkowski,79.09,,,0.8,standardize
minkowski,79.09,45.45,,0.8,standardize
minkowski,79.09,45.45,14.55,0.8,standardize
minkowski,79.55,,,0.9,standardize
minkowski,79.55,46.36,,0.9,standardize
minkowski,79.55,46.36,15.45,0.9,standardize
minkowski,81.36,,,1,standardize
minkowski,81.36,48.18,,1,standardize
minkowski,81.36,48.18,16.82,1,standardize
minkowski,82.73,,,1.1,standardize
minkowski,82.73,48.18,,1.1,standardize
minkowski,82.73,48.18,17.27,1.1,standardize
minkowski,85,,,1.2,standardize
minkowski,85,48.18,,1.2,standardize
minkowski,85,48.18,17.73,1.2,standardize
minkowski,85.45,,,1.3,standardize
minkowski,85.45,49.55,,1.3,standardize
minkowski,85.45,49.55,18.18,1.3,standardize
minkowski,87.73,,,1.4,standardize
minkowski,87.73,49.55,,1.4,standardize
minkowski,87.73,49.55,17.27,1.4,standardize
minkowski,88.64,,,1.5,standardize
minkowski,88.64,50.45,,1.5,standardize
minkowski,88.64,50.45,16.82,1.5,standardize
minkowski,89.09,,,1.6,standardize
minkowski,89.09,51.82,,1.6,standardize
minkowski,89.09,51.82,16.82,1.6,standardize
minkowski,89.55,,,1.7,standardize
minkowski,89.55,50.91,,1.7,standardize
minkowski,89.55,50.91,16.36,1.7,standardize
minkowski,87.73,,,1.8,standardize
minkowski,87.73,50.45,,1.8,standardize
minkowski,87.73,50.45,15.91,1.8,standardize
minkowski,87.73,,,1.9,standardize
minkowski,87.73,50,,1.9,standardize
minkowski,87.73,50,17.27,1.9,standardize
minkowski,88.18,,,2,standardize
minkowski,88.18,50,,2,standardize
minkowski,88.18,50,17.27,2,standardize
minkowski,88.64,,,2.1,standardize
minkowski,88.64,51.36,,2.1,standardize
minkowski,88.64,51.36,18.18,2.1,standardize
minkowski,88.18,,,2.2,standardize
minkowski,88.18,50.91,,2.2,standardize
minkowski,88.18,50.91,17.73,2.2,standardize
minkowski,87.73,,,2.3,standardize
minkowski,87.73,50,,2.3,standardize
minkowski,87.73,50,17.73,2.3,standardize
minkowski,87.73,,,2.4,standardize
minkowski,87.73,50,,2.4,standardize
minkowski,87.73,50,16.82,2.4,standardize
minkowski,88.64,,,2.5,standardize
minkowski,88.64,49.09,,2.5,standardize
minkowski,88.64,49.09,16.82,2.5,standardize
minkowski,87.73,,,2.6,standardize
minkowski,87.73,48.18,,2.6,standardize
minkowski,87.73,48.18,16.82,2.6,standardize
minkowski,86.82,,,2.7,standardize
minkowski,86.82,47.27,,2.7,standardize
minkowski,86.82,47.27,16.82,2.7,standardize
minkowski,86.82,,,2.8,standardize
minkowski,86.82,47.27,,2.8,standardize
minkowski,86.82,47.27,16.82,2.8,standardize
minkowski,86.82,,,2.9,standardize
minkowski,86.82,45.91,,2.9,standardize
minkowski,86.82,45.91,16.36,2.9,standardize
minkowski,86.82,,,3,standardize
minkowski,86.82,45.45,,3,standardize
minkowski,86.82,45.45,15.91,3,standardize
minkowski,86.36,,,3.1,standardize
minkowski,86.36,44.55,,3.1,standardize
minkowski,86.36,44.55,16.36,3.1,standardize
minkowski,85.91,,,3.2,standardize
minkowski,85.91,43.18,,3.2,standardize
minkowski,85.91,43.18,16.82,3.2,standardize
minkowski,85.45,,,3.3,standardize
minkowski,85.45,42.73,,3.3,standardize
minkowski,85.45,42.73,16.82,3.3,standardize
minkowski,84.55,,,3.4,standardize
minkowski,84.55,42.27,,3.4,standardize
minkowski,84.55,42.27,16.82,3.4,standardize
minkowski,84.55,,,3.5,standardize
minkowski,84.55,42.27,,3.5,standardize
minkowski,84.55,42.27,17.27,3.5,standardize
minkowski,83.64,,,3.6,standardize
minkowski,83.64,42.73,,3.6,standardize
minkowski,83.64,42.73,17.27,3.6,standardize
minkowski,83.18,,,3.7,standardize
minkowski,83.18,42.27,,3.7,standardize
minkowski,83.18,42.27,16.82,3.7,standardize
minkowski,82.73,,,3.8,standardize
minkowski,82.73,41.36,,3.8,standardize
minkowski,82.73,41.36,16.82,3.8,standardize
