comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),parameter_value,preprocess_method
minkowski,45,,,0.01,subtract_mean
minkowski,45,17.73,,0.01,subtract_mean
minkowski,45,17.73,6.36,0.01,subtract_mean
minkowski,49.55,,,0.1,subtract_mean
minkowski,49.55,23.18,,0.1,subtract_mean
minkowski,49.55,23.18,7.73,0.1,subtract_mean
minkowski,54.09,,,0.2,subtract_mean
minkowski,54.09,27.73,,0.2,subtract_mean
minkowski,54.09,27.73,9.09,0.2,subtract_mean
minkowski,56.82,,,0.3,subtract_mean
minkowski,56.82,30,,0.3,subtract_mean
minkowski,56.82,30,10.45,0.3,subtract_mean
minkowski,61.82,,,0.4,subtract_mean
minkowski,61.82,33.18,,0.4,subtract_mean
minkowski,61.82,33.18,10,0.4,subtract_mean
minkowski,65.45,,,0.5,subtract_mean
minkowski,65.45,32.73,,0.5,subtract_mean
minkowski,65.45,32.73,11.36,0.5,subtract_mean
minkowski,67.27,,,0.6,subtract_mean
minkowski,67.27,34.55,,0.6,subtract_mean
minkowski,67.27,34.55,13.18,0.6,subtract_mean
minkowski,70.45,,,0.7,subtract_mean
minkowski,70.45,36.36,,0.7,subtract_mean
minkowski,70.45,36.36,13.18,0.7,subtract_mean
minkowski,71.36,,,0.8,subtract_mean
minkowski,71.36,38.18,,0.8,subtract_mean
minkowski,71.36,38.18,14.09,0.8,subtract_mean
minkowski,73.18,,,0.9,subtract_mean
minkowski,73.18,40.91,,0.9,subtract_mean
minkowski,73.18,40.91,14.55,0.9,subtract_mean
minkowski,73.64,,,1,subtract_mean
minkowski,73.64,42.73,,1,subtract_mean
minkowski,73.64,42.73,15.45,1,subtract_mean
minkowski,75,,,1.1,subtract_mean
minkowski,75,42.27,,1.1,subtract_mean
minkowski,75,42.27,16.82,1.1,subtract_mean
minkowski,75.45,,,1.2,subtract_mean
minkowski,75.45,43.64,,1.2,subtract_mean
minkowski,75.45,43.64,16.82,1.2,subtract_mean
minkowski,75,,,1.3,subtract_mean
minkowski,75,44.55,,1.3,subtract_mean
minkowski,75,44.55,17.27,1.3,subtract_mean
minkowski,76.82,,,1.4,subtract_mean
minkowski,76.82,44.55,,1.4,subtract_mean
minkowski,76.82,44.55,17.73,1.4,subtract_mean
