comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,97.27,,,1,1,rank-list
wartmann,97.27,72.27,,1,1,rank-list
wartmann,97.27,72.27,27.27,1,1,rank-list
wartmann,97.27,,,1.1,1,rank-list
wartmann,97.27,71.82,,1.1,1,rank-list
wartmann,97.27,71.82,27.27,1.1,1,rank-list
wartmann,97.27,,,1.2,1,rank-list
wartmann,97.27,71.82,,1.2,1,rank-list
wartmann,97.27,71.82,26.36,1.2,1,rank-list
wartmann,97.27,,,1.3,1,rank-list
wartmann,97.27,71.36,,1.3,1,rank-list
wartmann,97.27,71.36,26.36,1.3,1,rank-list
wartmann,97.27,,,1.4,1,rank-list
wartmann,97.27,71.82,,1.4,1,rank-list
wartmann,97.27,71.82,25.45,1.4,1,rank-list
wartmann,97.27,,,1.5,1,rank-list
wartmann,97.27,71.36,,1.5,1,rank-list
wartmann,97.27,71.36,25,1.5,1,rank-list
wartmann,97.73,,,1.6,1,rank-list
wartmann,97.73,71.82,,1.6,1,rank-list
wartmann,97.73,71.82,25,1.6,1,rank-list
wartmann,97.73,,,1.7,1,rank-list
wartmann,97.73,72.73,,1.7,1,rank-list
wartmann,97.73,72.73,25,1.7,1,rank-list
wartmann,97.27,,,1.8,1,rank-list
wartmann,97.27,72.27,,1.8,1,rank-list
wartmann,97.27,72.27,25.45,1.8,1,rank-list
wartmann,97.27,,,1.9,1,rank-list
wartmann,97.27,71.36,,1.9,1,rank-list
wartmann,97.27,71.36,25.91,1.9,1,rank-list
wartmann,97.27,,,2,1,rank-list
wartmann,97.27,71.36,,2,1,rank-list
wartmann,97.27,71.36,25.45,2,1,rank-list
wartmann,97.27,,,2.1,1,rank-list
wartmann,97.27,70.91,,2.1,1,rank-list
wartmann,97.27,70.91,25.45,2.1,1,rank-list
wartmann,97.27,,,2.2,1,rank-list
wartmann,97.27,70.45,,2.2,1,rank-list
wartmann,97.27,70.45,25.45,2.2,1,rank-list
wartmann,97.27,,,2.3,1,rank-list
wartmann,97.27,70.45,,2.3,1,rank-list
wartmann,97.27,70.45,24.55,2.3,1,rank-list
wartmann,97.27,,,2.4,1,rank-list
wartmann,97.27,69.55,,2.4,1,rank-list
wartmann,97.27,69.55,24.55,2.4,1,rank-list
wartmann,97.27,,,2.5,1,rank-list
wartmann,97.27,69.09,,2.5,1,rank-list
wartmann,97.27,69.09,25,2.5,1,rank-list
wartmann,96.82,,,2.6,1,rank-list
wartmann,96.82,68.64,,2.6,1,rank-list
wartmann,96.82,68.64,24.09,2.6,1,rank-list
wartmann,96.36,,,2.7,1,rank-list
wartmann,96.36,69.09,,2.7,1,rank-list
wartmann,96.36,69.09,23.64,2.7,1,rank-list
wartmann,96.36,,,2.8,1,rank-list
wartmann,96.36,67.73,,2.8,1,rank-list
wartmann,96.36,67.73,24.55,2.8,1,rank-list
wartmann,96.82,,,2.9,1,rank-list
wartmann,96.82,66.82,,2.9,1,rank-list
wartmann,96.82,66.82,24.09,2.9,1,rank-list
wartmann,96.82,,,3,1,rank-list
wartmann,96.82,65.91,,3,1,rank-list
wartmann,96.82,65.91,24.09,3,1,rank-list
wartmann,96.36,,,4,1,rank-list
wartmann,96.36,62.27,,4,1,rank-list
wartmann,96.36,62.27,25.91,4,1,rank-list
wartmann,95,,,5,1,rank-list
wartmann,95,59.09,,5,1,rank-list
wartmann,95,59.09,22.27,5,1,rank-list
wartmann,92.27,,,6,1,rank-list
wartmann,92.27,54.09,,6,1,rank-list
wartmann,92.27,54.09,20.91,6,1,rank-list
wartmann,86.82,,,7,1,rank-list
wartmann,86.82,53.18,,7,1,rank-list
wartmann,86.82,53.18,20.91,7,1,rank-list
wartmann,82.27,,,8,1,rank-list
wartmann,82.27,50.91,,8,1,rank-list
wartmann,82.27,50.91,19.55,8,1,rank-list
wartmann,80,,,9,1,rank-list
wartmann,80,48.18,,9,1,rank-list
wartmann,80,48.18,18.64,9,1,rank-list
wartmann,75.91,,,10,1,rank-list
wartmann,75.91,46.36,,10,1,rank-list
wartmann,75.91,46.36,16.82,10,1,rank-list
wartmann,74.09,,,11,1,rank-list
wartmann,74.09,43.64,,11,1,rank-list
wartmann,74.09,43.64,15.91,11,1,rank-list
wartmann,73.18,,,12,1,rank-list
wartmann,73.18,42.73,,12,1,rank-list
wartmann,73.18,42.73,15.45,12,1,rank-list
wartmann,71.82,,,13,1,rank-list
wartmann,71.82,40.45,,13,1,rank-list
wartmann,71.82,40.45,15,13,1,rank-list
wartmann,70.45,,,14,1,rank-list
wartmann,70.45,40,,14,1,rank-list
wartmann,70.45,40,14.55,14,1,rank-list
