comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,97.27,,,1,1,rank-list
wartmann,97.27,72.27,,1,1,rank-list
wartmann,97.27,72.27,27.27,1,1,rank-list
wartmann,97.27,,,1,1.1,rank-list
wartmann,97.27,72.27,,1,1.1,rank-list
wartmann,97.27,72.27,26.36,1,1.1,rank-list
wartmann,97.27,,,1,1.2,rank-list
wartmann,97.27,72.27,,1,1.2,rank-list
wartmann,97.27,72.27,26.82,1,1.2,rank-list
wartmann,97.27,,,1,1.3,rank-list
wartmann,97.27,72.27,,1,1.3,rank-list
wartmann,97.27,72.27,26.82,1,1.3,rank-list
wartmann,97.73,,,1,1.4,rank-list
wartmann,97.73,72.27,,1,1.4,rank-list
wartmann,97.73,72.27,27.27,1,1.4,rank-list
wartmann,97.73,,,1,1.5,rank-list
wartmann,97.73,72.27,,1,1.5,rank-list
wartmann,97.73,72.27,27.27,1,1.5,rank-list
wartmann,97.73,,,1,1.6,rank-list
wartmann,97.73,71.82,,1,1.6,rank-list
wartmann,97.73,71.82,27.27,1,1.6,rank-list
wartmann,97.73,,,1,1.7,rank-list
wartmann,97.73,71.82,,1,1.7,rank-list
wartmann,97.73,71.82,27.27,1,1.7,rank-list
wartmann,97.73,,,1,1.8,rank-list
wartmann,97.73,71.82,,1,1.8,rank-list
wartmann,97.73,71.82,26.82,1,1.8,rank-list
wartmann,97.73,,,1,1.9,rank-list
wartmann,97.73,72.27,,1,1.9,rank-list
wartmann,97.73,72.27,26.82,1,1.9,rank-list
wartmann,97.73,,,1,2,rank-list
wartmann,97.73,71.82,,1,2,rank-list
wartmann,97.73,71.82,26.82,1,2,rank-list
wartmann,97.73,,,1,2.1,rank-list
wartmann,97.73,71.82,,1,2.1,rank-list
wartmann,97.73,71.82,27.27,1,2.1,rank-list
wartmann,97.73,,,1,2.2,rank-list
wartmann,97.73,72.27,,1,2.2,rank-list
wartmann,97.73,72.27,27.27,1,2.2,rank-list
wartmann,97.73,,,1,2.3,rank-list
wartmann,97.73,71.36,,1,2.3,rank-list
wartmann,97.73,71.36,26.82,1,2.3,rank-list
wartmann,97.73,,,1,2.4,rank-list
wartmann,97.73,71.36,,1,2.4,rank-list
wartmann,97.73,71.36,27.27,1,2.4,rank-list
wartmann,97.73,,,1,2.5,rank-list
wartmann,97.73,71.36,,1,2.5,rank-list
wartmann,97.73,71.36,27.27,1,2.5,rank-list
wartmann,97.73,,,1,2.6,rank-list
wartmann,97.73,71.36,,1,2.6,rank-list
wartmann,97.73,71.36,27.27,1,2.6,rank-list
wartmann,97.73,,,1,2.7,rank-list
wartmann,97.73,72.27,,1,2.7,rank-list
wartmann,97.73,72.27,27.73,1,2.7,rank-list
wartmann,97.73,,,1,2.8,rank-list
wartmann,97.73,72.27,,1,2.8,rank-list
wartmann,97.73,72.27,28.18,1,2.8,rank-list
wartmann,97.27,,,1,2.9,rank-list
wartmann,97.27,72.27,,1,2.9,rank-list
wartmann,97.27,72.27,27.73,1,2.9,rank-list
wartmann,97.27,,,1,3,rank-list
wartmann,97.27,72.27,,1,3,rank-list
wartmann,97.27,72.27,26.36,1,3,rank-list
wartmann,96.82,,,1,4,rank-list
wartmann,96.82,72.27,,1,4,rank-list
wartmann,96.82,72.27,27.27,1,4,rank-list
wartmann,96.82,,,1,5,rank-list
wartmann,96.82,71.82,,1,5,rank-list
wartmann,96.82,71.82,27.27,1,5,rank-list
wartmann,95.91,,,1,6,rank-list
wartmann,95.91,71.36,,1,6,rank-list
wartmann,95.91,71.36,28.64,1,6,rank-list
wartmann,94.55,,,1,7,rank-list
wartmann,94.55,70,,1,7,rank-list
wartmann,94.55,70,27.73,1,7,rank-list
wartmann,94.09,,,1,8,rank-list
wartmann,94.09,68.64,,1,8,rank-list
wartmann,94.09,68.64,26.36,1,8,rank-list
wartmann,92.73,,,1,9,rank-list
wartmann,92.73,67.73,,1,9,rank-list
wartmann,92.73,67.73,25.91,1,9,rank-list
wartmann,91.82,,,1,10,rank-list
wartmann,91.82,67.73,,1,10,rank-list
wartmann,91.82,67.73,26.36,1,10,rank-list
wartmann,91.36,,,1,11,rank-list
wartmann,91.36,66.36,,1,11,rank-list
wartmann,91.36,66.36,25.91,1,11,rank-list
wartmann,90.91,,,1,12,rank-list
wartmann,90.91,65.45,,1,12,rank-list
wartmann,90.91,65.45,25.45,1,12,rank-list
wartmann,89.09,,,1,13,rank-list
wartmann,89.09,65.91,,1,13,rank-list
wartmann,89.09,65.91,25.45,1,13,rank-list
wartmann,87.27,,,1,14,rank-list
wartmann,87.27,63.18,,1,14,rank-list
wartmann,87.27,63.18,25.91,1,14,rank-list
