comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,97.27,,,1,1,rank-list
wartmann,97.27,72.27,,1,1,rank-list
wartmann,97.27,72.27,27.27,1,1,rank-list
wartmann,97.27,,,1.1,1.1,rank-list
wartmann,97.27,71.82,,1.1,1.1,rank-list
wartmann,97.27,71.82,27.27,1.1,1.1,rank-list
wartmann,97.27,,,1.2,1.2,rank-list
wartmann,97.27,71.82,,1.2,1.2,rank-list
wartmann,97.27,71.82,26.36,1.2,1.2,rank-list
wartmann,97.27,,,1.3,1.3,rank-list
wartmann,97.27,71.82,,1.3,1.3,rank-list
wartmann,97.27,71.82,26.36,1.3,1.3,rank-list
wartmann,96.82,,,1.4,1.4,rank-list
wartmann,96.82,71.36,,1.4,1.4,rank-list
wartmann,96.82,71.36,25.45,1.4,1.4,rank-list
wartmann,96.82,,,1.5,1.5,rank-list
wartmann,96.82,71.82,,1.5,1.5,rank-list
wartmann,96.82,71.82,25.91,1.5,1.5,rank-list
wartmann,96.82,,,1.6,1.6,rank-list
wartmann,96.82,71.82,,1.6,1.6,rank-list
wartmann,96.82,71.82,26.36,1.6,1.6,rank-list
wartmann,96.82,,,1.7,1.7,rank-list
wartmann,96.82,71.82,,1.7,1.7,rank-list
wartmann,96.82,71.82,25.91,1.7,1.7,rank-list
wartmann,96.82,,,1.8,1.8,rank-list
wartmann,96.82,71.82,,1.8,1.8,rank-list
wartmann,96.82,71.82,25.91,1.8,1.8,rank-list
wartmann,96.82,,,1.9,1.9,rank-list
wartmann,96.82,70.91,,1.9,1.9,rank-list
wartmann,96.82,70.91,26.82,1.9,1.9,rank-list
wartmann,97.27,,,2,2,rank-list
wartmann,97.27,70.91,,2,2,rank-list
wartmann,97.27,70.91,27.27,2,2,rank-list
wartmann,96.82,,,2.1,2.1,rank-list
wartmann,96.82,70,,2.1,2.1,rank-list
wartmann,96.82,70,27.27,2.1,2.1,rank-list
wartmann,96.36,,,2.2,2.2,rank-list
wartmann,96.36,69.55,,2.2,2.2,rank-list
wartmann,96.36,69.55,28.18,2.2,2.2,rank-list
wartmann,96.36,,,2.3,2.3,rank-list
wartmann,96.36,69.55,,2.3,2.3,rank-list
wartmann,96.36,69.55,28.18,2.3,2.3,rank-list
wartmann,96.36,,,2.4,2.4,rank-list
wartmann,96.36,67.73,,2.4,2.4,rank-list
wartmann,96.36,67.73,26.82,2.4,2.4,rank-list
wartmann,96.36,,,2.5,2.5,rank-list
wartmann,96.36,67.27,,2.5,2.5,rank-list
wartmann,96.36,67.27,25.45,2.5,2.5,rank-list
wartmann,96.82,,,2.6,2.6,rank-list
wartmann,96.82,66.82,,2.6,2.6,rank-list
wartmann,96.82,66.82,25.91,2.6,2.6,rank-list
wartmann,96.82,,,2.7,2.7,rank-list
wartmann,96.82,66.82,,2.7,2.7,rank-list
wartmann,96.82,66.82,26.36,2.7,2.7,rank-list
wartmann,96.36,,,2.8,2.8,rank-list
wartmann,96.36,66.36,,2.8,2.8,rank-list
wartmann,96.36,66.36,26.82,2.8,2.8,rank-list
wartmann,96.36,,,2.9,2.9,rank-list
wartmann,96.36,65.91,,2.9,2.9,rank-list
wartmann,96.36,65.91,27.27,2.9,2.9,rank-list
wartmann,96.36,,,3,3,rank-list
wartmann,96.36,66.36,,3,3,rank-list
wartmann,96.36,66.36,27.27,3,3,rank-list
wartmann,94.09,,,4,4,rank-list
wartmann,94.09,59.09,,4,4,rank-list
wartmann,94.09,59.09,23.64,4,4,rank-list
wartmann,88.18,,,5,5,rank-list
wartmann,88.18,55.91,,5,5,rank-list
wartmann,88.18,55.91,22.73,5,5,rank-list
wartmann,81.82,,,6,6,rank-list
wartmann,81.82,52.27,,6,6,rank-list
wartmann,81.82,52.27,20,6,6,rank-list
wartmann,79.09,,,7,7,rank-list
wartmann,79.09,48.64,,7,7,rank-list
wartmann,79.09,48.64,19.55,7,7,rank-list
wartmann,76.36,,,8,8,rank-list
wartmann,76.36,44.55,,8,8,rank-list
wartmann,76.36,44.55,16.82,8,8,rank-list
wartmann,74.09,,,9,9,rank-list
wartmann,74.09,42.73,,9,9,rank-list
wartmann,74.09,42.73,16.36,9,9,rank-list
wartmann,72.27,,,10,10,rank-list
wartmann,72.27,41.82,,10,10,rank-list
wartmann,72.27,41.82,16.36,10,10,rank-list
wartmann,70.45,,,11,11,rank-list
wartmann,70.45,39.55,,11,11,rank-list
wartmann,70.45,39.55,16.36,11,11,rank-list
wartmann,69.55,,,12,12,rank-list
wartmann,69.55,38.64,,12,12,rank-list
wartmann,69.55,38.64,15,12,12,rank-list
wartmann,68.18,,,13,13,rank-list
wartmann,68.18,37.73,,13,13,rank-list
wartmann,68.18,37.73,15,13,13,rank-list
wartmann,66.82,,,14,14,rank-list
wartmann,66.82,36.82,,14,14,rank-list
wartmann,66.82,36.82,14.55,14,14,rank-list
