comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),runtime (ms),alpha,beta,preprocess_method,preprocess_time (ms)
wartmann,97.27,,,4945.8233,1.25,1.5,rank-list,982.9213
wartmann,97.27,71.82,,5122.5001,1.25,1.5,rank-list,1012.8597
wartmann,97.27,71.82,27.27,5348.4797,1.25,1.5,rank-list,1007.5806
wartmann,96.82,,,5887.4045,1.25,1.75,rank-list,1428.8166
wartmann,96.82,72.27,,5957.4694,1.25,1.75,rank-list,1375.3924
wartmann,96.82,72.27,26.82,5950.7711,1.25,1.75,rank-list,1418.2414
wartmann,97.27,,,6129.0288,1.25,2.0,rank-list,1208.2006
wartmann,97.27,72.27,,5824.0196,1.25,2.0,rank-list,1246.5734
wartmann,97.27,72.27,26.36,5602.6847,1.25,2.0,rank-list,1201.8184
wartmann,97.27,,,6258.8664,1.25,2.25,rank-list,1077.6445
wartmann,97.27,71.82,,5781.4802,1.25,2.25,rank-list,1107.2160
wartmann,97.27,71.82,26.82,5553.6524,1.25,2.25,rank-list,1095.8226
wartmann,97.27,,,5805.2029,1.25,2.5,rank-list,1107.0755
wartmann,97.27,72.73,,5644.6739,1.25,2.5,rank-list,1142.7815
wartmann,97.27,72.73,26.82,5567.9197,1.25,2.5,rank-list,1151.0779
wartmann,96.82,,,5597.8182,1.25,2.75,rank-list,1149.0897
wartmann,96.82,73.64,,5918.8540,1.25,2.75,rank-list,1319.4293
wartmann,96.82,73.64,27.27,5920.1280,1.25,2.75,rank-list,1388.7956
wartmann,96.82,,,5522.5080,1.25,3.0,rank-list,1167.4267
wartmann,96.82,72.73,,5550.2103,1.25,3.0,rank-list,1178.1138
wartmann,96.82,72.73,26.82,5528.2778,1.25,3.0,rank-list,1171.6092
wartmann,97.27,,,5430.3761,1.5,1.25,rank-list,1143.7846
wartmann,97.27,71.82,,5424.4945,1.5,1.25,rank-list,1140.6821
wartmann,97.27,71.82,25.00,5432.5442,1.5,1.25,rank-list,1140.7741
wartmann,96.82,,,5427.9883,1.5,1.75,rank-list,1142.8542
wartmann,96.82,71.36,,5230.1591,1.5,1.75,rank-list,1136.7717
wartmann,96.82,71.36,26.36,5227.5912,1.5,1.75,rank-list,1108.8916
wartmann,96.82,,,4835.4536,1.5,2.0,rank-list,1098.8000
wartmann,96.82,71.36,,4791.2530,1.5,2.0,rank-list,1068.5023
wartmann,96.82,71.36,26.36,4804.7203,1.5,2.0,rank-list,1067.0900
wartmann,97.27,,,4929.1808,1.5,2.25,rank-list,1072.4602
wartmann,97.27,71.36,,4969.5943,1.5,2.25,rank-list,1057.7348
wartmann,97.27,71.36,27.27,4973.2939,1.5,2.25,rank-list,1054.3974
wartmann,96.82,,,5028.4595,1.5,2.5,rank-list,1046.8418
wartmann,96.82,71.82,,5036.7567,1.5,2.5,rank-list,1047.9799
wartmann,96.82,71.82,27.73,5200.4351,1.5,2.5,rank-list,1049.7430
wartmann,96.82,,,7267.1359,1.5,2.75,rank-list,1774.9263
wartmann,96.82,72.73,,6642.0329,1.5,2.75,rank-list,1582.7067
wartmann,96.82,72.73,27.73,6318.2230,1.5,2.75,rank-list,1453.0935
wartmann,96.36,,,5587.8188,1.5,3.0,rank-list,1174.6436
wartmann,96.36,72.73,,5329.4768,1.5,3.0,rank-list,1173.5656
wartmann,96.36,72.73,26.82,5364.6681,1.5,3.0,rank-list,1131.5959
wartmann,97.73,,,5594.7869,1.75,1.25,rank-list,1173.4198
wartmann,97.73,71.36,,5576.1587,1.75,1.25,rank-list,1170.3836
wartmann,97.73,71.36,25.91,5555.2584,1.75,1.25,rank-list,1166.8477
wartmann,97.27,,,5548.5485,1.75,1.5,rank-list,1190.5326
wartmann,97.27,71.36,,5521.7160,1.75,1.5,rank-list,1188.4345
wartmann,97.27,71.36,25.91,5526.3927,1.75,1.5,rank-list,1176.5521
wartmann,96.82,,,5049.4899,1.75,2.0,rank-list,1150.5312
wartmann,96.82,71.82,,5122.2550,1.75,2.0,rank-list,1099.5855
wartmann,96.82,71.82,26.82,5081.2680,1.75,2.0,rank-list,1104.2753
wartmann,96.36,,,5155.4023,1.75,2.25,rank-list,1046.7930
wartmann,96.36,71.82,,5130.7987,1.75,2.25,rank-list,1053.1243
wartmann,96.36,71.82,27.73,5091.1057,1.75,2.25,rank-list,1057.2849
wartmann,96.82,,,5433.0784,1.75,2.5,rank-list,1067.5726
wartmann,96.82,72.27,,5471.9978,1.75,2.5,rank-list,1130.6268
wartmann,96.82,72.27,28.64,5501.6101,1.75,2.5,rank-list,1148.8111
wartmann,96.36,,,5469.0141,1.75,2.75,rank-list,1159.7236
wartmann,96.36,71.82,,5452.7366,1.75,2.75,rank-list,1163.3761
wartmann,96.36,71.82,28.18,5471.1858,1.75,2.75,rank-list,1170.1507
wartmann,96.36,,,5426.1836,1.75,3.0,rank-list,1155.2381
wartmann,96.36,71.82,,5448.7607,1.75,3.0,rank-list,1158.1320
