comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,85.91,,,1,1,rank-list
wartmann,85.91,50,,1,1,rank-list
wartmann,85.91,50,14.55,1,1,rank-list
wartmann,86.36,,,1.1,1,rank-list
wartmann,86.36,50.45,,1.1,1,rank-list
wartmann,86.36,50.45,15,1.1,1,rank-list
wartmann,85.91,,,1.2,1,rank-list
wartmann,85.91,49.55,,1.2,1,rank-list
wartmann,85.91,49.55,15.45,1.2,1,rank-list
wartmann,86.36,,,1.3,1,rank-list
wartmann,86.36,49.55,,1.3,1,rank-list
wartmann,86.36,49.55,15.45,1.3,1,rank-list
wartmann,85.91,,,1.4,1,rank-list
wartmann,85.91,49.09,,1.4,1,rank-list
wartmann,85.91,49.09,15,1.4,1,rank-list
wartmann,86.36,,,1.5,1,rank-list
wartmann,86.36,49.09,,1.5,1,rank-list
wartmann,86.36,49.09,15.45,1.5,1,rank-list
wartmann,86.36,,,1.6,1,rank-list
wartmann,86.36,47.73,,1.6,1,rank-list
wartmann,86.36,47.73,16.36,1.6,1,rank-list
wartmann,85.91,,,1.7,1,rank-list
wartmann,85.91,47.73,,1.7,1,rank-list
wartmann,85.91,47.73,16.36,1.7,1,rank-list
wartmann,85,,,1.8,1,rank-list
wartmann,85,47.73,,1.8,1,rank-list
wartmann,85,47.73,16.36,1.8,1,rank-list
wartmann,85,,,1.9,1,rank-list
wartmann,85,47.73,,1.9,1,rank-list
wartmann,85,47.73,17.27,1.9,1,rank-list
wartmann,85,,,2,1,rank-list
wartmann,85,47.27,,2,1,rank-list
wartmann,85,47.27,17.27,2,1,rank-list
wartmann,85,,,2.1,1,rank-list
wartmann,85,45.91,,2.1,1,rank-list
wartmann,85,45.91,16.82,2.1,1,rank-list
wartmann,84.55,,,2.2,1,rank-list
wartmann,84.55,45,,2.2,1,rank-list
wartmann,84.55,45,16.82,2.2,1,rank-list
wartmann,84.09,,,2.3,1,rank-list
wartmann,84.09,44.55,,2.3,1,rank-list
wartmann,84.09,44.55,15.91,2.3,1,rank-list
wartmann,85.45,,,2.4,1,rank-list
wartmann,85.45,44.55,,2.4,1,rank-list
wartmann,85.45,44.55,16.36,2.4,1,rank-list
wartmann,84.09,,,2.5,1,rank-list
wartmann,84.09,44.09,,2.5,1,rank-list
wartmann,84.09,44.09,16.36,2.5,1,rank-list
wartmann,83.18,,,2.6,1,rank-list
wartmann,83.18,43.18,,2.6,1,rank-list
wartmann,83.18,43.18,16.36,2.6,1,rank-list
wartmann,83.18,,,2.7,1,rank-list
wartmann,83.18,43.64,,2.7,1,rank-list
wartmann,83.18,43.64,17.27,2.7,1,rank-list
wartmann,82.73,,,2.8,1,rank-list
wartmann,82.73,43.64,,2.8,1,rank-list
wartmann,82.73,43.64,17.27,2.8,1,rank-list
wartmann,81.82,,,2.9,1,rank-list
wartmann,81.82,43.64,,2.9,1,rank-list
wartmann,81.82,43.64,17.27,2.9,1,rank-list
wartmann,81.36,,,3,1,rank-list
wartmann,81.36,42.73,,3,1,rank-list
wartmann,81.36,42.73,16.82,3,1,rank-list
wartmann,73.64,,,4,1,rank-list
wartmann,73.64,37.73,,4,1,rank-list
wartmann,73.64,37.73,15.45,4,1,rank-list
wartmann,68.18,,,5,1,rank-list
wartmann,68.18,35.45,,5,1,rank-list
wartmann,68.18,35.45,12.73,5,1,rank-list
wartmann,65,,,6,1,rank-list
wartmann,65,35,,6,1,rank-list
wartmann,65,35,13.64,6,1,rank-list
wartmann,62.73,,,7,1,rank-list
wartmann,62.73,31.82,,7,1,rank-list
wartmann,62.73,31.82,12.73,7,1,rank-list
wartmann,59.55,,,8,1,rank-list
wartmann,59.55,31.82,,8,1,rank-list
wartmann,59.55,31.82,12.73,8,1,rank-list
wartmann,57.73,,,9,1,rank-list
wartmann,57.73,31.36,,9,1,rank-list
wartmann,57.73,31.36,12.73,9,1,rank-list
wartmann,56.36,,,10,1,rank-list
wartmann,56.36,30.91,,10,1,rank-list
wartmann,56.36,30.91,12.27,10,1,rank-list
wartmann,54.55,,,11,1,rank-list
wartmann,54.55,29.55,,11,1,rank-list
wartmann,54.55,29.55,12.73,11,1,rank-list
wartmann,54.09,,,12,1,rank-list
wartmann,54.09,30,,12,1,rank-list
wartmann,54.09,30,12.27,12,1,rank-list
wartmann,53.18,,,13,1,rank-list
wartmann,53.18,30,,13,1,rank-list
wartmann,53.18,30,12.27,13,1,rank-list
wartmann,53.18,,,14,1,rank-list
wartmann,53.18,29.09,,14,1,rank-list
wartmann,53.18,29.09,11.36,14,1,rank-list
