comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,85.91,,,1,1,rank-list
wartmann,85.91,50,,1,1,rank-list
wartmann,85.91,50,14.55,1,1,rank-list
wartmann,85.91,,,1,1.1,rank-list
wartmann,85.91,50.45,,1,1.1,rank-list
wartmann,85.91,50.45,14.55,1,1.1,rank-list
wartmann,86.36,,,1,1.2,rank-list
wartmann,86.36,49.55,,1,1.2,rank-list
wartmann,86.36,49.55,14.09,1,1.2,rank-list
wartmann,86.36,,,1,1.3,rank-list
wartmann,86.36,49.55,,1,1.3,rank-list
wartmann,86.36,49.55,14.55,1,1.3,rank-list
wartmann,86.36,,,1,1.4,rank-list
wartmann,86.36,49.55,,1,1.4,rank-list
wartmann,86.36,49.55,15,1,1.4,rank-list
wartmann,86.82,,,1,1.5,rank-list
wartmann,86.82,49.09,,1,1.5,rank-list
wartmann,86.82,49.09,15,1,1.5,rank-list
wartmann,87.27,,,1,1.6,rank-list
wartmann,87.27,49.09,,1,1.6,rank-list
wartmann,87.27,49.09,15,1,1.6,rank-list
wartmann,87.27,,,1,1.7,rank-list
wartmann,87.27,49.55,,1,1.7,rank-list
wartmann,87.27,49.55,15,1,1.7,rank-list
wartmann,86.82,,,1,1.8,rank-list
wartmann,86.82,49.55,,1,1.8,rank-list
wartmann,86.82,49.55,15,1,1.8,rank-list
wartmann,86.82,,,1,1.9,rank-list
wartmann,86.82,48.64,,1,1.9,rank-list
wartmann,86.82,48.64,15,1,1.9,rank-list
wartmann,86.36,,,1,2,rank-list
wartmann,86.36,49.09,,1,2,rank-list
wartmann,86.36,49.09,15,1,2,rank-list
wartmann,85.91,,,1,2.1,rank-list
wartmann,85.91,50,,1,2.1,rank-list
wartmann,85.91,50,15,1,2.1,rank-list
wartmann,85.45,,,1,2.2,rank-list
wartmann,85.45,50.45,,1,2.2,rank-list
wartmann,85.45,50.45,15,1,2.2,rank-list
wartmann,85.45,,,1,2.3,rank-list
wartmann,85.45,51.36,,1,2.3,rank-list
wartmann,85.45,51.36,15,1,2.3,rank-list
wartmann,85,,,1,2.4,rank-list
wartmann,85,51.36,,1,2.4,rank-list
wartmann,85,51.36,15,1,2.4,rank-list
wartmann,85,,,1,2.5,rank-list
wartmann,85,50.91,,1,2.5,rank-list
wartmann,85,50.91,15,1,2.5,rank-list
wartmann,85,,,1,2.6,rank-list
wartmann,85,50.91,,1,2.6,rank-list
wartmann,85,50.91,15,1,2.6,rank-list
wartmann,84.55,,,1,2.7,rank-list
wartmann,84.55,50.45,,1,2.7,rank-list
wartmann,84.55,50.45,15.45,1,2.7,rank-list
wartmann,83.64,,,1,2.8,rank-list
wartmann,83.64,50.45,,1,2.8,rank-list
wartmann,83.64,50.45,15.45,1,2.8,rank-list
wartmann,83.18,,,1,2.9,rank-list
wartmann,83.18,50.45,,1,2.9,rank-list
wartmann,83.18,50.45,15.91,1,2.9,rank-list
wartmann,83.18,,,1,3,rank-list
wartmann,83.18,50.45,,1,3,rank-list
wartmann,83.18,50.45,15.45,1,3,rank-list
wartmann,81.36,,,1,4,rank-list
wartmann,81.36,50.45,,1,4,rank-list
wartmann,81.36,50.45,16.82,1,4,rank-list
wartmann,81.82,,,1,5,rank-list
wartmann,81.82,49.09,,1,5,rank-list
wartmann,81.82,49.09,16.36,1,5,rank-list
wartmann,80.45,,,1,6,rank-list
wartmann,80.45,46.36,,1,6,rank-list
wartmann,80.45,46.36,17.27,1,6,rank-list
wartmann,78.64,,,1,7,rank-list
wartmann,78.64,45,,1,7,rank-list
wartmann,78.64,45,17.27,1,7,rank-list
wartmann,78.18,,,1,8,rank-list
wartmann,78.18,44.09,,1,8,rank-list
wartmann,78.18,44.09,17.73,1,8,rank-list
wartmann,76.82,,,1,9,rank-list
wartmann,76.82,41.82,,1,9,rank-list
wartmann,76.82,41.82,17.73,1,9,rank-list
wartmann,74.09,,,1,10,rank-list
wartmann,74.09,40,,1,10,rank-list
wartmann,74.09,40,18.64,1,10,rank-list
wartmann,73.18,,,1,11,rank-list
wartmann,73.18,39.09,,1,11,rank-list
wartmann,73.18,39.09,19.55,1,11,rank-list
wartmann,70.91,,,1,12,rank-list
wartmann,70.91,36.36,,1,12,rank-list
wartmann,70.91,36.36,19.55,1,12,rank-list
wartmann,68.18,,,1,13,rank-list
wartmann,68.18,36.36,,1,13,rank-list
wartmann,68.18,36.36,19.55,1,13,rank-list
wartmann,67.27,,,1,14,rank-list
wartmann,67.27,36.36,,1,14,rank-list
wartmann,67.27,36.36,19.09,1,14,rank-list
