comparison_method,close_recog_rate (%),medium_recog_rate (%),far_recog_rate (%),alpha,beta,preprocess_method
wartmann,85.91,,,1,1,rank-list
wartmann,85.91,50,,1,1,rank-list
wartmann,85.91,50,14.55,1,1,rank-list
wartmann,86.36,,,1.1,1.1,rank-list
wartmann,86.36,50.91,,1.1,1.1,rank-list
wartmann,86.36,50.91,15.45,1.1,1.1,rank-list
wartmann,86.82,,,1.2,1.2,rank-list
wartmann,86.82,49.55,,1.2,1.2,rank-list
wartmann,86.82,49.55,15.45,1.2,1.2,rank-list
wartmann,86.82,,,1.3,1.3,rank-list
wartmann,86.82,49.09,,1.3,1.3,rank-list
wartmann,86.82,49.09,15,1.3,1.3,rank-list
wartmann,87.27,,,1.4,1.4,rank-list
wartmann,87.27,47.73,,1.4,1.4,rank-list
wartmann,87.27,47.73,15.91,1.4,1.4,rank-list
wartmann,86.82,,,1.5,1.5,rank-list
wartmann,86.82,48.64,,1.5,1.5,rank-list
wartmann,86.82,48.64,15.91,1.5,1.5,rank-list
wartmann,85.91,,,1.6,1.6,rank-list
wartmann,85.91,48.18,,1.6,1.6,rank-list
wartmann,85.91,48.18,16.82,1.6,1.6,rank-list
wartmann,86.36,,,1.7,1.7,rank-list
wartmann,86.36,48.64,,1.7,1.7,rank-list
wartmann,86.36,48.64,16.36,1.7,1.7,rank-list
wartmann,86.36,,,1.8,1.8,rank-list
wartmann,86.36,48.18,,1.8,1.8,rank-list
wartmann,86.36,48.18,16.36,1.8,1.8,rank-list
wartmann,85.45,,,1.9,1.9,rank-list
wartmann,85.45,47.73,,1.9,1.9,rank-list
wartmann,85.45,47.73,16.82,1.9,1.9,rank-list
wartmann,85,,,2,2,rank-list
wartmann,85,45.45,,2,2,rank-list
wartmann,85,45.45,17.27,2,2,rank-list
wartmann,84.55,,,2.1,2.1,rank-list
wartmann,84.55,45,,2.1,2.1,rank-list
wartmann,84.55,45,17.27,2.1,2.1,rank-list
wartmann,84.09,,,2.2,2.2,rank-list
wartmann,84.09,45.45,,2.2,2.2,rank-list
wartmann,84.09,45.45,17.27,2.2,2.2,rank-list
wartmann,83.64,,,2.3,2.3,rank-list
wartmann,83.64,45.45,,2.3,2.3,rank-list
wartmann,83.64,45.45,16.82,2.3,2.3,rank-list
wartmann,82.73,,,2.4,2.4,rank-list
wartmann,82.73,44.55,,2.4,2.4,rank-list
wartmann,82.73,44.55,17.27,2.4,2.4,rank-list
wartmann,81.82,,,2.5,2.5,rank-list
wartmann,81.82,45.45,,2.5,2.5,rank-list
wartmann,81.82,45.45,17.27,2.5,2.5,rank-list
wartmann,80.45,,,2.6,2.6,rank-list
wartmann,80.45,43.64,,2.6,2.6,rank-list
wartmann,80.45,43.64,16.82,2.6,2.6,rank-list
wartmann,79.55,,,2.7,2.7,rank-list
wartmann,79.55,42.27,,2.7,2.7,rank-list
wartmann,79.55,42.27,16.36,2.7,2.7,rank-list
wartmann,79.55,,,2.8,2.8,rank-list
wartmann,79.55,42.27,,2.8,2.8,rank-list
wartmann,79.55,42.27,15.91,2.8,2.8,rank-list
wartmann,77.73,,,2.9,2.9,rank-list
wartmann,77.73,40.45,,2.9,2.9,rank-list
wartmann,77.73,40.45,15.91,2.9,2.9,rank-list
wartmann,77.73,,,3,3,rank-list
wartmann,77.73,39.55,,3,3,rank-list
wartmann,77.73,39.55,15.91,3,3,rank-list
wartmann,70,,,4,4,rank-list
wartmann,70,37.27,,4,4,rank-list
wartmann,70,37.27,13.64,4,4,rank-list
wartmann,67.73,,,5,5,rank-list
wartmann,67.73,34.55,,5,5,rank-list
wartmann,67.73,34.55,12.73,5,5,rank-list
wartmann,64.55,,,6,6,rank-list
wartmann,64.55,33.64,,6,6,rank-list
wartmann,64.55,33.64,13.64,6,6,rank-list
wartmann,60.45,,,7,7,rank-list
wartmann,60.45,31.36,,7,7,rank-list
wartmann,60.45,31.36,13.64,7,7,rank-list
wartmann,60,,,8,8,rank-list
wartmann,60,30,,8,8,rank-list
wartmann,60,30,14.09,8,8,rank-list
wartmann,58.64,,,9,9,rank-list
wartmann,58.64,29.09,,9,9,rank-list
wartmann,58.64,29.09,15,9,9,rank-list
wartmann,55.91,,,10,10,rank-list
wartmann,55.91,26.82,,10,10,rank-list
wartmann,55.91,26.82,15.45,10,10,rank-list
wartmann,55.91,,,11,11,rank-list
wartmann,55.91,26.36,,11,11,rank-list
wartmann,55.91,26.36,15.91,11,11,rank-list
wartmann,55.45,,,12,12,rank-list
wartmann,55.45,25.91,,12,12,rank-list
wartmann,55.45,25.91,15,12,12,rank-list
wartmann,54.09,,,13,13,rank-list
wartmann,54.09,25.45,,13,13,rank-list
wartmann,54.09,25.45,14.55,13,13,rank-list
wartmann,52.73,,,14,14,rank-list
wartmann,52.73,25.45,,14,14,rank-list
wartmann,52.73,25.45,14.09,14,14,rank-list
